t_s,phase,step_idx,pwm_target,pwm_actual,psi_imu_deg,psi_enc_deg,psi_dot_dps,pitch_raw_deg,rest_angle_deg
0.0049,repos,0,1500,1500,-0.0556,-0.0000,-0.0000,3.2021,86.85
0.0228,repos,0,1500,1500,-0.0556,-0.0000,-0.0000,3.2021,86.85
0.0450,repos,0,1500,1500,-0.0615,-0.0000,-0.0000,3.208,86.85
0.0622,repos,0,1500,1500,-0.0615,-0.0000,-0.0000,3.208,86.85
0.0828,repos,0,1500,1500,-0.0615,-0.0000,-0.0000,3.208,86.85
0.1047,repos,0,1500,1500,-0.0615,-0.0000,-0.0000,3.208,86.85
0.1225,repos,0,1500,1500,-0.0615,-0.0000,-0.0000,3.208,86.85
0.1454,repos,0,1500,1500,-0.0615,-0.0000,-0.0000,3.208,86.85
0.1628,repos,0,1500,1500,-0.0615,-0.0000,-0.0000,3.208,86.85
0.1846,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.2039,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.2224,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.2447,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.2625,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.2842,repos,0,1500,1500,-0.0712,-0.0000,-0.0000,3.2177,86.85
0.3042,repos,0,1500,1500,-0.0712,-0.0000,-0.0000,3.2177,86.85
0.3228,repos,0,1500,1500,-0.0712,-0.0000,-0.0000,3.2177,86.85
0.3488,repos,0,1500,1500,-0.0770,-0.0000,-0.0000,3.2236,86.85
0.3628,repos,0,1500,1500,-0.0770,-0.0000,-0.0000,3.2236,86.85
0.3843,repos,0,1500,1500,-0.0770,-0.0000,-0.0000,3.2236,86.85
0.4043,repos,0,1500,1500,-0.0770,-0.0000,-0.0000,3.2236,86.85
0.4228,repos,0,1500,1500,-0.0770,-0.0000,-0.0000,3.2236,86.85
0.4455,repos,0,1500,1500,-0.0770,-0.0000,-0.0000,3.2236,86.85
0.4630,repos,0,1500,1500,-0.0770,-0.0000,-0.0000,3.2236,86.85
0.4843,repos,0,1500,1500,-0.0732,-0.0000,-0.0000,3.2198,86.85
0.5048,repos,0,1500,1500,-0.0732,-0.0000,-0.0000,3.2198,86.85
0.5232,repos,0,1500,1500,-0.0732,-0.0000,-0.0000,3.2198,86.85
0.5458,repos,0,1500,1500,-0.0732,-0.0000,-0.0000,3.2198,86.85
0.5634,repos,0,1500,1500,-0.0732,-0.0000,-0.0000,3.2198,86.85
0.5862,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.6035,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.6236,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.6460,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.6638,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.6860,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.7039,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.7240,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.7469,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.7641,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.7863,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.8043,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.8244,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.8480,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.8645,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.8882,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.9047,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.9259,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.9459,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.9650,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
0.9885,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
1.0051,repos,0,1500,1500,-0.0674,-0.0000,-0.0000,3.2139,86.85
1.0263,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.0484,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.0667,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.0897,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.1073,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.1294,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.1516,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.1675,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.1932,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.2080,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.2312,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.2500,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.2683,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.2933,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.3087,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.3301,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.3512,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.3687,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.3911,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.4089,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.4317,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
1.4516,repos,0,1500,1500,-0.0635,-0.0000,-0.0000,3.2101,86.85
