t_s,psi_deg,psi_dot_dps,pwm_us
0.0002,-0.0228,-0.0000,1500
0.0203,-0.0228,-0.0000,1500
0.0404,-0.0228,-0.0000,1500
0.0605,-0.0228,-0.0000,1500
0.0806,-0.0280,-0.0000,1500
0.1007,-0.0280,-0.0000,1500
0.1208,-0.0280,-0.0000,1500
0.1409,-0.0280,-0.0000,1500
0.1609,-0.0280,-0.0000,1500
0.1810,-0.0280,-0.0000,1500
0.2011,-0.0280,-0.0000,1500
0.2212,-0.0280,-0.0000,1500
0.2413,-0.0280,-0.2238,1500
0.2614,-0.0280,-0.2238,1500
0.2815,-0.0282,0.1119,1500
0.3016,-0.0282,0.1119,1500
0.3217,-0.0278,0.1119,1500
0.3426,-0.0278,-0.1119,1500
0.3627,-0.0278,-0.1119,1500
0.3828,-0.0278,0.1119,1500
0.4029,-0.0278,0.1119,1500
0.4230,0.1765,0.1119,1500
0.4431,0.1765,-0.1119,1500
0.4631,0.1765,-0.1119,1500
0.4833,-0.0230,0.1119,1500
0.5034,-0.0230,0.1119,1500
0.5234,0.1765,0.1119,1500
0.5435,0.1765,-0.0000,1500
0.5637,0.1765,-0.0000,1500
0.5838,-0.0234,-0.0000,1500
0.6040,-0.0234,-0.0000,1500
0.6241,-0.0286,-0.0000,1500
0.6441,-0.0286,-0.0000,1500
0.6642,-0.0286,-0.0000,1500
0.6843,-0.0288,-0.0000,1500
0.7044,-0.0288,-0.0000,1500
0.7245,-0.0236,-0.2238,1500
0.7446,-0.0236,-0.2238,1500
0.7647,-0.0236,-0.2238,1500
0.7849,-0.0236,0.1119,1500
0.8050,-0.0236,0.1119,1500
0.8251,-0.0234,-0.0000,1500
0.8452,-0.0234,-0.0000,1500
0.8654,-0.0236,-0.0000,1500
0.8855,-0.0236,-0.0000,1500
0.9056,-0.0236,-0.0000,1500
0.9257,-0.0236,-0.0000,1500
0.9458,-0.0236,-0.0000,1500
0.9659,0.1759,-0.0000,1500
0.9860,0.1759,-0.0000,1500
1.0061,0.1759,-0.0000,1300
1.0262,0.1759,-0.0000,1300
1.0463,0.1759,-0.0000,1300
1.0664,-0.0286,-0.0000,1300
1.0865,-0.0286,-0.0000,1300
1.1066,-0.0286,-0.0000,1300
1.1267,-0.0286,-0.0000,1300
1.1468,-0.0286,-0.0000,1300
1.1669,-0.0286,-0.0000,1300
1.1870,-0.0286,-0.0000,1300
1.2071,-0.0286,-0.0000,1300
1.2281,-0.0286,-0.0000,1300
1.2481,-0.0286,-0.0000,1300
1.2685,-0.0484,-0.0000,1300
1.2886,-0.0484,1.6786,1300
1.3087,-0.0484,1.6786,1300
1.3288,-0.1289,8.6167,1300
1.3488,-0.1289,8.6167,1300
1.3689,-1.3277,8.6167,1300
1.3890,-1.3277,26.7455,1300
1.4091,-1.3277,26.7455,1300
1.4292,-0.0524,52.3719,1300
1.4492,-0.0524,52.3719,1300
1.4693,2.9847,52.3719,1300
1.4894,2.9847,79.7888,1300
1.5094,2.9847,79.7888,1300
1.5295,7.3599,105.0796,1300
1.5496,7.3599,105.0796,1300
1.5697,12.9088,105.0796,1300
1.5897,12.9088,123.0964,1300
1.6098,12.9088,123.0964,1300
1.6299,19.2526,133.9513,1300
1.6499,19.2526,133.9513,1300
1.6700,26.0375,133.9513,1300
1.6901,26.0375,136.6370,1300
1.7102,26.0375,136.6370,1300
1.7302,32.7905,131.3774,1300
1.7503,32.7905,131.3774,1300
1.7704,39.1759,131.3774,1300
1.7904,39.1759,117.6130,1300
1.8105,39.1759,117.6130,1300
1.8306,44.8287,100.1557,1300
1.8506,44.8287,100.1557,1300
1.8707,49.5339,100.1557,1300
1.8908,49.5339,77.9984,1300
1.9109,49.5339,77.9984,1300
1.9309,53.0485,52.8195,1300
1.9510,53.0485,52.8195,1300
1.9711,55.2952,52.8195,1300
1.9911,55.2952,26.7455,1300
2.0112,55.2952,26.7455,1300
2.0313,56.2010,-0.3357,1300
2.0514,56.2010,-0.3357,1300
2.0714,55.7919,-0.3357,1300
2.0915,55.7919,-24.8431,1300
2.1116,55.7919,-24.8431,1300
2.1317,54.1336,-50.8052,1300
2.1517,54.1336,-50.8052,1300
2.1718,51.2724,-50.8052,1300
2.1919,51.2724,-71.0602,1300
2.2119,51.2724,-71.0602,1300
2.2320,47.4389,-89.8604,1300
2.2521,47.4389,-89.8604,1300
2.2722,42.6780,-89.8604,1300
2.2922,42.6780,-103.8486,1300
2.3126,42.6780,-103.8486,1300
2.3327,37.3108,-111.4582,1300
2.3527,37.3108,-111.4582,1300
2.3728,31.6358,-111.4582,1300
2.3929,31.6358,-114.8154,1300
2.4130,31.6358,-114.8154,1300
2.4330,25.9686,-110.2272,1300
2.4531,25.9686,-110.2272,1300
2.4732,20.5884,-110.2272,1300
2.4932,20.5884,-98.5890,1300
2.5133,20.5884,-98.5890,1300
2.5334,15.9051,-80.0127,1300
2.5535,15.9051,-80.0127,1300
2.5735,12.2014,-80.0127,1300
2.5936,12.2014,-57.8553,1300
2.6137,12.2014,-57.8553,1300
2.6338,9.7057,-31.8932,1300
2.6539,9.7057,-31.8932,1300
2.6739,8.5274,-31.8932,1300
2.6940,8.5274,-4.2524,1300
