t_s,angle_deg
0.0000,87.1200
0.0051,86.9400
0.0102,86.9400
0.0153,86.9400
0.0204,86.9400
0.0254,86.9400
0.0305,86.9400
0.0356,86.7600
0.0406,86.7600
0.0457,86.7600
0.0508,86.7600
0.0559,86.5800
0.0610,86.5800
0.0661,86.5800
0.0711,86.5800
0.0762,86.5800
0.0813,86.4000
0.0864,86.4000
0.0915,86.4000
0.0965,86.2200
0.1016,86.2200
0.1067,86.2200
0.1118,86.2200
0.1169,86.0400
0.1219,86.0400
0.1270,86.0400
0.1321,85.8600
0.1372,85.8600
0.1423,85.6800
0.1473,85.6800
0.1524,85.6800
0.1575,85.5000
0.1626,85.5000
0.1677,85.5000
0.1727,85.3200
0.1778,85.3200
0.1829,85.1400
0.1880,85.1400
0.1930,84.9600
0.1981,84.9600
0.2032,84.9600
0.2083,84.7800
0.2134,84.7800
0.2185,84.6000
0.2236,84.6000
0.2286,84.4200
0.2337,84.4200
0.2388,84.2400
0.2439,84.2400
0.2489,84.0600
0.2540,84.0600
0.2591,83.8800
0.2642,83.8800
0.2693,83.7000
0.2744,83.5200
0.2794,83.5200
0.2845,83.3400
0.2896,83.3400
0.2947,83.1600
0.2998,83.1600
0.3048,82.9800
0.3099,82.8000
0.3150,82.8000
0.3201,82.6200
0.3251,82.6200
0.3302,82.4400
0.3353,82.2600
0.3404,82.2600
0.3454,82.0800
0.3505,81.9000
0.3556,81.9000
0.3606,81.7200
0.3657,81.5400
0.3708,81.5400
0.3759,81.3600
0.3809,81.1800
0.3860,81.1800
0.3911,81.0000
0.3962,80.8200
0.4012,80.6400
0.4063,80.6400
0.4114,80.4600
0.4165,80.2800
0.4216,80.1000
0.4266,80.1000
0.4317,79.9200
0.4368,79.7400
0.4419,79.5600
0.4470,79.5600
0.4520,79.3800
0.4571,79.2000
0.4622,79.0200
0.4673,78.8400
0.4724,78.8400
0.4774,78.6600
0.4825,78.4800
0.4876,78.3000
0.4927,78.1200
0.4977,77.9400
0.5028,77.7600
0.5079,77.7600
0.5130,77.5800
0.5180,77.4000
0.5231,77.2200
0.5282,77.0400
0.5333,76.8600
0.5383,76.6800
0.5434,76.6800
0.5485,76.5000
0.5536,76.3200
0.5587,76.1400
0.5638,75.9600
0.5688,75.7800
0.5739,75.6000
0.5790,75.4200
0.5841,75.2400
0.5891,75.0600
0.5942,74.8800
0.5993,74.7000
0.6044,74.5200
0.6095,74.3400
0.6145,74.1600
0.6196,73.9800
0.6247,73.8000
0.6298,73.6200
0.6349,73.4400
0.6400,73.2600
0.6451,73.0800
0.6501,72.9000
0.6552,72.7200
0.6603,72.5400
0.6654,72.3600
0.6705,72.1800
0.6756,72.0000
0.6806,71.6400
0.6857,71.4600
0.6908,71.2800
0.6959,71.1000
0.7010,70.9200
0.7061,70.7400
0.7112,70.5600
0.7163,70.3800
0.7214,70.2000
0.7265,69.8400
0.7316,69.6600
0.7366,69.4800
0.7417,69.3000
0.7468,69.1200
0.7519,68.9400
0.7570,68.7600
0.7620,68.4000
0.7671,68.2200
0.7722,68.0400
0.7772,67.8600
0.7823,67.5000
0.7874,67.3200
0.7925,67.1400
0.7975,66.9600
0.8026,66.7800
0.8077,66.4200
0.8127,66.2400
0.8178,66.0600
0.8229,65.8800
0.8280,65.5200
0.8330,65.3400
0.8381,65.1600
0.8432,64.9800
0.8482,64.6200
0.8533,64.4400
0.8584,64.2600
0.8635,64.0800
0.8685,63.7200
0.8736,63.5400
0.8787,63.3600
0.8838,63.0000
0.8888,62.8200
0.8939,62.6400
0.8990,62.2800
0.9041,62.1000
0.9092,61.9200
0.9142,61.5600
0.9193,61.3800
0.9244,61.2000
0.9295,60.8400
0.9345,60.6600
0.9396,60.3000
0.9447,60.1200
0.9498,59.9400
0.9548,59.5800
0.9599,59.4000
0.9650,59.0400
0.9701,58.8600
0.9752,58.5000
0.9802,58.3200
0.9853,58.1400
0.9904,57.7800
0.9954,57.6000
1.0005,57.2400
1.0056,57.0600
1.0107,56.7000
1.0157,56.5200
1.0208,56.1600
1.0259,55.9800
1.0310,55.6200
1.0360,55.4400
1.0411,55.0800
1.0462,54.9000
1.0513,54.5400
1.0563,54.3600
1.0614,54.0000
1.0665,53.8200
