t_s,iteration,tail_pwm_us,main_pwm_us,psi_pitch_deg
0.0002,1,1500,1500,-0.0000
0.0053,2,1500,1500,-0.0000
0.0104,3,1500,1500,-0.0000
0.0155,4,1500,1500,-0.0000
0.0205,5,1500,1500,-0.0000
0.0256,6,1500,1500,-0.0000
0.0306,7,1500,1500,-0.0000
0.0357,8,1500,1500,-0.0000
0.0408,9,1500,1500,-0.0000
0.0458,10,1500,1500,-0.0000
0.0509,11,1500,1500,-0.0000
0.0560,12,1500,1500,-0.0000
0.0610,13,1500,1500,-0.0000
0.0661,14,1500,1500,-0.0000
0.0711,15,1500,1500,-0.0000
0.0762,16,1500,1500,-0.0000
0.0813,17,1500,1500,-0.0000
0.0863,18,1500,1500,-0.0000
0.0914,19,1500,1500,-0.0000
0.0965,20,1500,1500,-0.0000
0.1016,21,1500,1500,-0.0000
0.1067,22,1500,1500,-0.0000
0.1117,23,1500,1500,-0.0000
0.1168,24,1500,1500,-0.0000
0.1219,25,1500,1500,-0.0000
0.1270,26,1500,1500,-0.0000
0.1320,27,1500,1500,-0.0000
0.1371,28,1500,1500,-0.0000
0.1422,29,1500,1500,-0.0000
0.1473,30,1500,1500,-0.0000
0.1523,31,1500,1500,-0.0000
0.1574,32,1500,1500,-0.0000
0.1625,33,1500,1500,-0.0000
0.1675,34,1500,1500,-0.0000
0.1726,35,1500,1500,-0.0000
0.1776,36,1500,1500,-0.0000
0.1827,37,1500,1500,-0.0000
0.1878,38,1500,1500,-0.0000
0.1928,39,1500,1500,-0.0000
0.1979,40,1500,1500,-0.0000
0.2029,41,1500,1500,-0.0000
0.2080,42,1500,1500,-0.0000
0.2131,43,1500,1500,-0.0000
0.2182,44,1500,1500,-0.0000
0.2232,45,1500,1500,-0.0000
0.2283,46,1500,1500,-0.0000
0.2334,47,1500,1500,-0.0000
0.2384,48,1500,1500,-0.0000
0.2435,49,1500,1500,-0.0000
0.2486,50,1500,1500,-0.0000
0.2536,51,1500,1500,-0.0000
0.2587,52,1500,1500,-0.0000
0.2638,53,1500,1500,-0.0000
0.2689,54,1500,1500,-0.0000
0.2739,55,1500,1500,-0.0000
0.2790,56,1500,1500,-0.0000
0.2841,57,1500,1500,-0.0000
0.2891,58,1500,1500,-0.0000
0.2942,59,1500,1500,-0.0000
0.2992,60,1500,1500,-0.0000
0.3043,61,1500,1500,-0.0000
0.3094,62,1500,1500,-0.0000
0.3144,63,1500,1500,-0.0000
0.3195,64,1500,1500,-0.0000
0.3246,65,1500,1500,-0.0000
0.3296,66,1500,1500,-0.0000
0.3347,67,1500,1500,-0.0000
0.3397,68,1500,1500,-0.0000
0.3448,69,1500,1500,-0.0000
0.3499,70,1500,1500,-0.0000
0.3549,71,1500,1500,-0.0000
0.3600,72,1500,1500,-0.0000
0.3651,73,1500,1500,-0.0000
0.3702,74,1500,1500,-0.0000
0.3753,75,1500,1500,-0.0000
0.3804,76,1500,1500,-0.0000
0.3855,77,1500,1500,-0.0000
0.3906,78,1500,1500,-0.0000
0.3956,79,1500,1500,-0.0000
0.4007,80,1500,1500,-0.0000
0.4058,81,1500,1500,-0.0000
0.4109,82,1500,1500,-0.0000
0.4160,83,1500,1500,-0.0000
0.4210,84,1500,1500,-0.0000
0.4261,85,1500,1500,-0.0000
0.4312,86,1500,1500,-0.0000
0.4362,87,1500,1500,-0.0000
0.4413,88,1500,1500,-0.0000
0.4464,89,1500,1500,-0.0000
0.4514,90,1500,1500,-0.0000
0.4565,91,1500,1500,-0.0000
