t_s,iteration,sensor_mode,new_data,quat_changed,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,0.4000,0.445778,0.444444,0.001333,-0.000000,0.000000,1498
0.0078,2,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,0.8000,0.447111,0.444444,0.002667,-0.000000,0.000000,1496
0.0129,3,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,1.2000,0.448444,0.444444,0.004000,-0.000000,0.000000,1494
0.0180,4,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,1.6000,0.449778,0.444444,0.005333,-0.000000,0.000000,1492
0.0230,5,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,2.0000,0.451111,0.444444,0.006667,-0.000000,0.000000,1490
0.0281,6,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,2.4000,0.452444,0.444444,0.008000,-0.000000,0.000000,1488
0.0332,7,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,2.8000,0.453778,0.444444,0.009333,-0.000000,0.000000,1486
0.0382,8,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,3.2000,0.455111,0.444444,0.010667,-0.000000,0.000000,1484
0.0433,9,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,3.6000,0.456444,0.444444,0.012000,-0.000000,0.000000,1482
0.0484,10,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,4.0000,0.457778,0.444444,0.013333,-0.000000,0.000000,1480
0.0534,11,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,4.4000,0.459111,0.444444,0.014667,-0.000000,0.000000,1478
0.0585,12,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,4.8000,0.460444,0.444444,0.016000,-0.000000,0.000000,1476
0.0636,13,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,5.2000,0.461778,0.444444,0.017333,-0.000000,0.000000,1474
0.0687,14,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,5.6000,0.463111,0.444444,0.018667,-0.000000,0.000000,1472
0.0737,15,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,6.0000,0.464444,0.444444,0.020000,-0.000000,0.000000,1470
0.0788,16,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,6.4000,0.465778,0.444444,0.021333,-0.000000,0.000000,1468
0.0839,17,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,6.8000,0.467111,0.444444,0.022667,-0.000000,0.000000,1466
0.0889,18,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,7.2000,0.468444,0.444444,0.024000,-0.000000,0.000000,1464
0.0940,19,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,7.6000,0.469778,0.444444,0.025333,-0.000000,0.000000,1462
0.0991,20,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,8.0000,0.471111,0.444444,0.026667,-0.000000,0.000000,1460
0.1041,21,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,8.4000,0.472444,0.444444,0.028000,-0.000000,0.000000,1458
0.1092,22,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,8.8000,0.473778,0.444444,0.029333,-0.000000,0.000000,1456
0.1143,23,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,9.2000,0.475111,0.444444,0.030667,-0.000000,0.000000,1454
0.1194,24,enc,1,1,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,9.6000,0.476444,0.444444,0.032000,-0.000000,0.000000,1452
0.1244,25,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,10.0000,0.477778,0.444444,0.033333,-0.000000,0.000000,1450
0.1295,26,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,10.4000,0.479111,0.444444,0.034667,-0.000000,0.000000,1448
0.1346,27,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,10.8000,0.480444,0.444444,0.036000,-0.000000,0.000000,1446
0.1397,28,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,11.2000,0.481778,0.444444,0.037333,-0.000000,0.000000,1444
0.1447,29,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,11.6000,0.483111,0.444444,0.038667,-0.000000,0.000000,1442
0.1498,30,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,12.0000,0.484444,0.444444,0.040000,-0.000000,0.000000,1440
0.1549,31,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,12.4000,0.485778,0.444444,0.041333,-0.000000,0.000000,1438
0.1599,32,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,12.8000,0.487111,0.444444,0.042667,-0.000000,0.000000,1436
0.1650,33,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,13.2000,0.488444,0.444444,0.044000,-0.000000,0.000000,1434
0.1701,34,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,13.6000,0.489778,0.444444,0.045333,-0.000000,0.000000,1432
0.1751,35,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,14.0000,0.491111,0.444444,0.046667,-0.000000,0.000000,1430
0.1802,36,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,14.4000,0.492444,0.444444,0.048000,-0.000000,0.000000,1428
0.1853,37,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,14.8000,0.493778,0.444444,0.049333,-0.000000,0.000000,1426
0.1904,38,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,15.2000,0.495111,0.444444,0.050667,-0.000000,0.000000,1424
0.1954,39,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,15.6000,0.496444,0.444444,0.052000,-0.000000,0.000000,1422
0.2005,40,enc,1,1,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,16.0000,0.497778,0.444444,0.053333,-0.000000,0.000000,1420
0.2056,41,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,16.4000,0.499111,0.444444,0.054667,-0.000000,0.000000,1418
0.2106,42,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,16.8000,0.500444,0.444444,0.056000,-0.000000,0.000000,1416
0.2157,43,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,17.2000,0.501778,0.444444,0.057333,-0.000000,0.000000,1414
0.2208,44,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,17.6000,0.503111,0.444444,0.058667,-0.000000,0.000000,1412
0.2259,45,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,18.0000,0.504444,0.444444,0.060000,-0.000000,0.000000,1410
0.2309,46,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,18.4000,0.505778,0.444444,0.061333,-0.000000,0.000000,1408
0.2360,47,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,18.8000,0.507111,0.444444,0.062667,-0.000000,0.000000,1406
0.2411,48,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,19.2000,0.508444,0.444444,0.064000,-0.000000,0.000000,1404
0.2461,49,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,19.6000,0.509778,0.444444,0.065333,-0.000000,0.000000,1402
0.2512,50,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,20.0000,0.511111,0.444444,0.066667,-0.000000,0.000000,1400
0.2563,51,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,20.4000,0.512444,0.444444,0.068000,-0.000000,0.000000,1398
0.2613,52,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,20.8000,0.513778,0.444444,0.069333,-0.000000,0.000000,1396
0.2664,53,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,21.2000,0.515111,0.444444,0.070667,-0.000000,0.000000,1394
0.2715,54,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,21.6000,0.516444,0.444444,0.072000,-0.000000,0.000000,1392
0.2766,55,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,22.0000,0.517778,0.444444,0.073333,-0.000000,0.000000,1390
0.2816,56,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,22.4000,0.519111,0.444444,0.074667,-0.000000,0.000000,1388
0.2867,57,enc,1,1,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,22.8000,0.520444,0.444444,0.076000,-0.000000,0.000000,1386
0.2917,58,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,23.2000,0.521778,0.444444,0.077333,-0.000000,0.000000,1384
0.2968,59,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,23.6000,0.523111,0.444444,0.078667,-0.000000,0.000000,1382
0.3019,60,enc,1,1,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,24.0000,0.524444,0.444444,0.080000,-0.000000,0.000000,1380
0.3070,61,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,24.4000,0.525778,0.444444,0.081333,-0.000000,0.000000,1378
0.3120,62,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,24.8000,0.527111,0.444444,0.082667,-0.000000,0.000000,1376
0.3171,63,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,25.2000,0.528444,0.444444,0.084000,-0.000000,0.000000,1374
0.3222,64,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,25.6000,0.529778,0.444444,0.085333,-0.000000,0.000000,1372
0.3272,65,enc,1,0,-0.0000,0.0000,-0.0000,0.0194,-0.1617,80.00,83.24,80.0000,26.0000,0.531111,0.444444,0.086667,-0.000000,0.000000,1370
0.3323,66,enc,1,1,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,26.4000,0.532444,0.444444,0.088000,-0.000000,0.000000,1368
0.3374,67,enc,1,0,-0.0000,0.0000,-0.0000,0.0635,-0.1621,80.00,83.24,80.0000,26.8000,0.533778,0.444444,0.089333,-0.000000,0.000000,1366
0.3425,68,enc,1,1,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,27.2000,0.535111,0.444444,0.090667,-0.000000,0.000000,1364
0.3475,69,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,27.6000,0.536444,0.444444,0.092000,-0.000000,0.000000,1362
0.3526,70,enc,1,0,-0.0000,0.0000,-0.0000,0.0243,-0.174,80.00,83.24,80.0000,28.0000,0.537778,0.444444,0.093333,-0.000000,0.000000,1360
