t_s,iteration,sensor_mode,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,enc,-0.0000,0.0000,-0.0000,-0.1398,-0.0738,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1480
0.0051,2,enc,-0.0000,0.0000,-0.0000,-0.1398,-0.0738,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1460
0.0102,3,enc,-0.0000,0.0000,-0.0000,-0.1398,-0.0738,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1440
0.0153,4,enc,-0.0000,0.0000,-0.0000,-0.1398,-0.0738,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1420
0.0204,5,enc,-0.0000,0.0000,-0.0000,-0.1398,-0.0738,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1400
0.0254,6,enc,-0.0000,0.0000,-0.0000,-0.1398,-0.0738,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1380
0.0305,7,enc,-0.0000,0.0000,-0.0000,-0.1398,-0.0738,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1360
0.0356,8,enc,-0.0000,0.0000,-0.0000,-0.1398,-0.0738,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1340
0.0407,9,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1320
0.0457,10,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1300
0.0508,11,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1280
0.0559,12,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.0609,13,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.0660,14,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.0711,15,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.0762,16,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.0813,17,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.0863,18,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.0914,19,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.0965,20,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1016,21,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1066,22,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1117,23,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1168,24,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1219,25,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1269,26,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1320,27,enc,-0.0000,0.0000,-0.0000,-0.092,-0.0586,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1371,28,enc,-0.0000,0.0000,-0.0000,-0.0633,-0.0837,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1422,29,enc,-0.0000,0.0000,-0.0000,-0.0633,-0.0837,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1473,30,enc,-0.0000,0.0000,-0.0000,-0.0633,-0.0837,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1524,31,enc,-0.0000,0.0000,-0.0000,-0.0633,-0.0837,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1574,32,enc,-0.0000,0.0000,-0.0000,-0.0633,-0.0837,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1625,33,enc,-0.0000,0.0000,-0.0000,-0.0633,-0.0837,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1676,34,enc,-0.0000,0.0000,-0.0000,-0.0633,-0.0837,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1727,35,enc,-0.0000,0.0000,-0.0000,-0.0633,-0.0837,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1777,36,enc,-0.0000,0.0000,-0.0000,-0.0633,-0.0837,90.00,84.92,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
