t_s,iteration,psi_enc_deg,psi_dot_enc_dps,phi_yaw_deg,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1480
0.0083,2,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1460
0.0134,3,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1440
0.0185,4,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1420
0.0236,5,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1400
0.0287,6,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1380
0.0339,7,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1360
0.0390,8,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1340
0.0440,9,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1320
0.0492,10,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1300
0.0543,11,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1280
0.0594,12,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.0645,13,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.0696,14,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.0747,15,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.0798,16,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.0849,17,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.0900,18,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.0953,19,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1008,20,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1059,21,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1110,22,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1161,23,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1212,24,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1267,25,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1318,26,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1369,27,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1420,28,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1471,29,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1522,30,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1573,31,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1624,32,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1675,33,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1726,34,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1780,35,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1831,36,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1882,37,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1933,38,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.1984,39,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2035,40,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2086,41,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2137,42,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2188,43,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2238,44,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2289,45,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2340,46,-0.0000,0.0000,0.1512,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2391,47,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2442,48,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2493,49,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2544,50,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2595,51,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2646,52,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2697,53,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2748,54,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2799,55,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2849,56,-0.0000,0.0000,0.0179,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
0.2900,57,-0.0000,0.0000,-0.0294,90.00,85.51,175.51,90.0000,0.0000,0.550000,0.800000,0.001500,-0.000000,0.000000,1268
