t_s,iteration,sensor_mode,new_data,quat_changed,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,enc,1,1,-0.0000,0.0000,-0.0000,0.0101,-0.0859,20.00,-84.71,20.0000,0.1000,-0.590447,0.177778,0.000333,-0.000000,-0.768558,1500
0.0086,2,enc,1,0,-0.0000,0.0000,-0.0000,0.0101,-0.0859,20.00,-84.71,20.0000,0.2000,-0.590113,0.177778,0.000667,-0.000000,-0.768558,1500
0.0137,3,enc,1,0,-0.0000,0.0000,-0.0000,0.0101,-0.0859,20.00,-84.71,20.0000,0.3000,-0.589780,0.177778,0.001000,-0.000000,-0.768558,1500
0.0187,4,enc,1,0,-0.0000,0.0000,-0.0000,0.0101,-0.0859,20.00,-84.71,20.0000,0.4000,-0.589447,0.177778,0.001333,-0.000000,-0.768558,1500
0.0238,5,enc,1,0,-0.0000,0.0000,-0.0000,0.0101,-0.0859,20.00,-84.71,20.0000,0.5000,-0.589113,0.177778,0.001667,-0.000000,-0.768558,1500
0.0289,6,enc,1,0,-0.0000,0.0000,-0.0000,0.0101,-0.0859,20.00,-84.71,20.0000,0.6000,-0.588780,0.177778,0.002000,-0.000000,-0.768558,1500
0.0340,7,enc,1,0,-0.0000,0.0000,-0.0000,0.0101,-0.0859,20.00,-84.71,20.0000,0.7000,-0.588447,0.177778,0.002333,-0.000000,-0.768558,1500
0.0391,8,enc,1,0,-0.0000,0.0000,-0.0000,0.0101,-0.0859,20.00,-84.71,20.0000,0.8000,-0.588113,0.177778,0.002667,-0.000000,-0.768558,1500
0.0442,9,enc,1,0,-0.0000,0.0000,-0.0000,0.0101,-0.0859,20.00,-84.71,20.0000,0.9000,-0.587780,0.177778,0.003000,-0.000000,-0.768558,1500
0.0494,10,enc,1,0,-0.0000,0.0000,-0.0000,0.0101,-0.0859,20.00,-84.71,20.0000,1.0000,-0.587447,0.177778,0.003333,-0.000000,-0.768558,1500
0.0545,11,enc,1,0,-0.0000,0.0000,-0.0000,0.0101,-0.0859,20.00,-84.71,20.0000,1.1000,-0.587113,0.177778,0.003667,-0.000000,-0.768558,1500
0.0596,12,enc,1,1,-0.0000,0.0000,-0.0000,0.0103,-0.0349,20.00,-84.71,20.0000,1.2000,-0.586780,0.177778,0.004000,-0.000000,-0.768558,1500
0.0647,13,enc,1,0,-0.0000,0.0000,-0.0000,0.0103,-0.0349,20.00,-84.71,20.0000,1.3000,-0.586447,0.177778,0.004333,-0.000000,-0.768558,1500
0.0697,14,enc,1,0,-0.0000,0.0000,-0.0000,0.0103,-0.0349,20.00,-84.71,20.0000,1.4000,-0.586113,0.177778,0.004667,-0.000000,-0.768558,1500
0.0748,15,enc,1,0,-0.0000,0.0000,-0.0000,0.0103,-0.0349,20.00,-84.71,20.0000,1.5000,-0.585780,0.177778,0.005000,-0.000000,-0.768558,1500
0.0799,16,enc,1,0,-0.0000,0.0000,-0.0000,0.0103,-0.0349,20.00,-84.71,20.0000,1.6000,-0.585447,0.177778,0.005333,-0.000000,-0.768558,1500
0.0850,17,enc,1,0,-0.0000,0.0000,-0.0000,0.0103,-0.0349,20.00,-84.71,20.0000,1.7000,-0.585113,0.177778,0.005667,-0.000000,-0.768558,1500
0.0900,18,enc,1,1,-0.0000,0.0000,-0.0000,0.0105,0.0209,20.00,-84.71,20.0000,1.8000,-0.584780,0.177778,0.006000,-0.000000,-0.768558,1500
0.0951,19,enc,1,0,-0.0000,0.0000,-0.0000,0.0105,0.0209,20.00,-84.71,20.0000,1.9000,-0.584447,0.177778,0.006333,-0.000000,-0.768558,1500
0.1002,20,enc,1,0,-0.0000,0.0000,-0.0000,0.0105,0.0209,20.00,-84.71,20.0000,2.0000,-0.584113,0.177778,0.006667,-0.000000,-0.768558,1500
0.1053,21,enc,1,0,-0.0000,0.0000,-0.0000,0.0105,0.0209,20.00,-84.71,20.0000,2.1000,-0.583780,0.177778,0.007000,-0.000000,-0.768558,1500
0.1103,22,enc,1,0,-0.0000,0.0000,-0.0000,0.0105,0.0209,20.00,-84.71,20.0000,2.2000,-0.583447,0.177778,0.007333,-0.000000,-0.768558,1500
0.1154,23,enc,1,0,-0.0000,0.0000,-0.0000,0.0105,0.0209,20.00,-84.71,20.0000,2.3000,-0.583113,0.177778,0.007667,-0.000000,-0.768558,1500
0.1205,24,enc,1,1,-0.0000,0.0000,-0.0000,0.0107,0.0719,20.00,-84.71,20.0000,2.4000,-0.582780,0.177778,0.008000,-0.000000,-0.768558,1500
0.1255,25,enc,1,0,-0.0000,0.0000,-0.0000,0.0107,0.0719,20.00,-84.71,20.0000,2.5000,-0.582447,0.177778,0.008333,-0.000000,-0.768558,1500
0.1307,26,enc,1,0,-0.0000,0.0000,-0.0000,0.0107,0.0719,20.00,-84.71,20.0000,2.6000,-0.582113,0.177778,0.008667,-0.000000,-0.768558,1500
0.1358,27,enc,1,0,-0.0000,0.0000,-0.0000,0.0107,0.0719,20.00,-84.71,20.0000,2.7000,-0.581780,0.177778,0.009000,-0.000000,-0.768558,1500
0.1409,28,enc,1,0,-0.0000,0.0000,-0.0000,0.0107,0.0719,20.00,-84.71,20.0000,2.8000,-0.581447,0.177778,0.009333,-0.000000,-0.768558,1500
0.1460,29,enc,1,0,-0.0000,0.0000,-0.0000,0.0107,0.0719,20.00,-84.71,20.0000,2.9000,-0.581113,0.177778,0.009667,-0.000000,-0.768558,1500
0.1511,30,enc,1,0,-0.0000,0.0000,-0.0000,0.0107,0.0719,20.00,-84.71,20.0000,3.0000,-0.580780,0.177778,0.010000,-0.000000,-0.768558,1500
0.1562,31,enc,1,0,-0.0000,0.0000,-0.0000,0.0107,0.0719,20.00,-84.71,20.0000,3.1000,-0.580447,0.177778,0.010333,-0.000000,-0.768558,1500
0.1613,32,enc,1,0,-0.0000,0.0000,-0.0000,0.0107,0.0719,20.00,-84.71,20.0000,3.2000,-0.580113,0.177778,0.010667,-0.000000,-0.768558,1500
0.1664,33,enc,1,1,-0.0000,0.0000,-0.0000,0.0109,0.1278,20.00,-84.71,20.0000,3.3000,-0.579780,0.177778,0.011000,-0.000000,-0.768558,1500
0.1715,34,enc,1,0,-0.0000,0.0000,-0.0000,0.0109,0.1278,20.00,-84.71,20.0000,3.4000,-0.579447,0.177778,0.011333,-0.000000,-0.768558,1500
0.1766,35,enc,1,0,-0.0000,0.0000,-0.0000,0.0109,0.1278,20.00,-84.71,20.0000,3.5000,-0.579113,0.177778,0.011667,-0.000000,-0.768558,1500
0.1817,36,enc,1,0,-0.0000,0.0000,-0.0000,0.0109,0.1278,20.00,-84.71,20.0000,3.6000,-0.578780,0.177778,0.012000,-0.000000,-0.768558,1500
0.1868,37,enc,1,0,-0.0000,0.0000,-0.0000,0.0109,0.1278,20.00,-84.71,20.0000,3.7000,-0.578447,0.177778,0.012333,-0.000000,-0.768558,1500
0.1919,38,enc,1,0,-0.0000,0.0000,-0.0000,0.0109,0.1278,20.00,-84.71,20.0000,3.8000,-0.578113,0.177778,0.012667,-0.000000,-0.768558,1500
0.1970,39,enc,1,1,-0.0000,0.0000,-0.0000,0.0111,0.1787,20.00,-84.71,20.0000,3.9000,-0.577780,0.177778,0.013000,-0.000000,-0.768558,1500
0.2020,40,enc,1,0,-0.0000,0.0000,-0.0000,0.0111,0.1787,20.00,-84.71,20.0000,4.0000,-0.577447,0.177778,0.013333,-0.000000,-0.768558,1500
0.2072,41,enc,1,0,-0.0000,0.0000,-0.0000,0.0111,0.1787,20.00,-84.71,20.0000,4.1000,-0.577113,0.177778,0.013667,-0.000000,-0.768558,1500
0.2123,42,enc,1,0,-0.0000,0.0000,-0.0000,0.0111,0.1787,20.00,-84.71,20.0000,4.2000,-0.576780,0.177778,0.014000,-0.000000,-0.768558,1500
0.2174,43,enc,1,0,-0.0000,0.0000,-0.0000,0.0111,0.1787,20.00,-84.71,20.0000,4.3000,-0.576447,0.177778,0.014333,-0.000000,-0.768558,1500
0.2225,44,enc,1,0,-0.0000,0.0000,-0.0000,0.0111,0.1787,20.00,-84.71,20.0000,4.4000,-0.576113,0.177778,0.014667,-0.000000,-0.768558,1500
0.2276,45,enc,1,0,-0.0000,0.0000,-0.0000,0.0111,0.1787,20.00,-84.71,20.0000,4.5000,-0.575780,0.177778,0.015000,-0.000000,-0.768558,1500
0.2326,46,enc,1,0,-0.0000,0.0000,-0.0000,0.0111,0.1787,20.00,-84.71,20.0000,4.6000,-0.575447,0.177778,0.015333,-0.000000,-0.768558,1500
0.2377,47,enc,1,0,-0.0000,0.0000,-0.0000,0.0111,0.1787,20.00,-84.71,20.0000,4.7000,-0.575113,0.177778,0.015667,-0.000000,-0.768558,1500
0.2428,48,enc,1,0,-0.0000,0.0000,-0.0000,0.0111,0.1787,20.00,-84.71,20.0000,4.8000,-0.574780,0.177778,0.016000,-0.000000,-0.768558,1500
0.2479,49,enc,1,0,-0.0000,0.0000,-0.0000,0.0111,0.1787,20.00,-84.71,20.0000,4.9000,-0.574447,0.177778,0.016333,-0.000000,-0.768558,1500
0.2529,50,enc,1,1,-0.0000,0.0000,-0.0000,0.0114,0.2346,20.00,-84.71,20.0000,5.0000,-0.574113,0.177778,0.016667,-0.000000,-0.768558,1500
0.2580,51,enc,1,0,-0.0000,0.0000,-0.0000,0.0114,0.2346,20.00,-84.71,20.0000,5.1000,-0.573780,0.177778,0.017000,-0.000000,-0.768558,1500
0.2631,52,enc,1,0,-0.0000,0.0000,-0.0000,0.0114,0.2346,20.00,-84.71,20.0000,5.2000,-0.573447,0.177778,0.017333,-0.000000,-0.768558,1500
0.2682,53,enc,1,0,-0.0000,0.0000,-0.0000,0.0114,0.2346,20.00,-84.71,20.0000,5.3000,-0.573113,0.177778,0.017667,-0.000000,-0.768558,1500
0.2733,54,enc,1,0,-0.0000,0.0000,-0.0000,0.0114,0.2346,20.00,-84.71,20.0000,5.4000,-0.572780,0.177778,0.018000,-0.000000,-0.768558,1500
0.2783,55,enc,1,0,-0.0000,0.0000,-0.0000,0.0114,0.2346,20.00,-84.71,20.0000,5.5000,-0.572447,0.177778,0.018333,-0.000000,-0.768558,1500
0.2834,56,enc,1,1,-0.0000,0.0000,-0.0000,0.0115,0.2856,20.00,-84.71,20.0000,5.6000,-0.572113,0.177778,0.018667,-0.000000,-0.768558,1500
0.2885,57,enc,1,0,-0.0000,0.0000,-0.0000,0.0115,0.2856,20.00,-84.71,20.0000,5.7000,-0.571780,0.177778,0.019000,-0.000000,-0.768558,1500
0.2936,58,enc,1,0,-0.0000,0.0000,-0.0000,0.0115,0.2856,20.00,-84.71,20.0000,5.8000,-0.571447,0.177778,0.019333,-0.000000,-0.768558,1500
0.2987,59,enc,1,0,-0.0000,0.0000,-0.0000,0.0115,0.2856,20.00,-84.71,20.0000,5.9000,-0.571113,0.177778,0.019667,-0.000000,-0.768558,1500
0.3037,60,enc,1,0,-0.0000,0.0000,-0.0000,0.0115,0.2856,20.00,-84.71,20.0000,6.0000,-0.570780,0.177778,0.020000,-0.000000,-0.768558,1500
0.3088,61,enc,1,0,-0.0000,0.0000,-0.0000,0.0115,0.2856,20.00,-84.71,20.0000,6.1000,-0.570447,0.177778,0.020333,-0.000000,-0.768558,1500
0.3139,62,enc,1,0,-0.0000,0.0000,-0.0000,0.0115,0.2856,20.00,-84.71,20.0000,6.2000,-0.570113,0.177778,0.020667,-0.000000,-0.768558,1500
0.3190,63,enc,1,0,-0.0000,0.0000,-0.0000,0.0115,0.2856,20.00,-84.71,20.0000,6.3000,-0.569780,0.177778,0.021000,-0.000000,-0.768558,1500
