t_s,iteration,sensor_mode,new_data,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,enc,1,-0.0000,0.0000,-0.0000,0.0093,-0.0118,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1480
0.0120,2,enc,0,-0.0000,0.0000,-0.0000,0.0093,-0.0118,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1460
0.0171,3,enc,0,-0.0000,0.0000,-0.0000,0.0093,-0.0118,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1440
0.0223,4,enc,0,-0.0000,0.0000,-0.0000,0.0093,-0.0118,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1420
0.0274,5,enc,0,-0.0000,0.0000,-0.0000,0.0093,-0.0118,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1400
0.0326,6,enc,0,-0.0000,0.0000,-0.0000,0.0093,-0.0118,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1380
0.0377,7,enc,1,-0.0000,0.0000,-0.0000,0.0028,-0.0503,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1360
0.0431,8,enc,0,-0.0000,0.0000,-0.0000,0.0028,-0.0503,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1340
0.0482,9,enc,1,-0.0000,0.0000,-0.0000,-0.0345,-0.0971,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1320
0.0562,10,enc,0,-0.0000,0.0000,-0.0000,-0.0345,-0.0971,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1300
0.0613,11,enc,0,-0.0000,0.0000,-0.0000,-0.0345,-0.0971,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1280
0.0664,12,enc,1,-0.0000,0.0000,-0.0000,-0.025,-0.1186,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1260
0.0715,13,enc,0,-0.0000,0.0000,-0.0000,-0.025,-0.1186,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1240
0.0766,14,enc,0,-0.0000,0.0000,-0.0000,-0.025,-0.1186,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1220
0.0824,15,enc,0,-0.0000,0.0000,-0.0000,-0.025,-0.1186,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1200
0.0875,16,enc,0,-0.0000,0.0000,-0.0000,-0.025,-0.1186,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1180
0.0926,17,enc,0,-0.0000,0.0000,-0.0000,-0.025,-0.1186,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1160
0.0976,18,enc,0,-0.0000,0.0000,-0.0000,-0.025,-0.1186,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1140
0.1027,19,enc,0,-0.0000,0.0000,-0.0000,-0.025,-0.1186,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1120
0.1078,20,enc,0,-0.0000,0.0000,-0.0000,-0.025,-0.1186,20.00,82.16,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.830944,1100
