t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,kp_eff,u_norm,u_p,u_i,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.1220,-0.0000,-0.0172,0.4476,6.00,87.69,93.69,6.1220,0.1224,3.3012,0.472747,0.224552,0.000204,-0.001492,0.249483,1475,2.4354
0.0201,2,-0.1220,-0.0000,-0.0172,-0.3357,6.00,87.69,93.69,6.1220,0.2449,3.3012,0.475562,0.224552,0.000408,0.001119,0.249483,1450,2.4354
0.0402,3,-0.1220,-0.0000,-0.0172,-0.3357,6.00,87.69,93.69,6.1220,0.3673,3.3012,0.475766,0.224552,0.000612,0.001119,0.249483,1425,2.4354
0.0603,4,-0.1357,-0.0000,-0.0178,-0.1119,6.00,87.69,93.69,6.1357,0.4900,3.3022,0.475797,0.225125,0.000817,0.000373,0.249483,1400,2.4491
0.0803,5,-0.1357,-0.0000,-0.0178,-0.1119,6.00,87.69,93.69,6.1357,0.6127,3.3022,0.476002,0.225125,0.001021,0.000373,0.249483,1375,2.4491
0.1004,6,-0.1548,-0.0000,-0.0184,-0.1119,6.00,87.69,93.69,6.1548,0.7358,3.3036,0.477000,0.225918,0.001226,0.000373,0.249483,1350,2.4682
0.1205,7,-0.1548,-0.0000,-0.0184,0.4476,6.00,87.69,93.69,6.1548,0.8589,3.3036,0.475340,0.225918,0.001432,-0.001492,0.249483,1325,2.4682
0.1406,8,-0.1548,-0.0000,-0.0184,0.4476,6.00,87.69,93.69,6.1548,0.9820,3.3036,0.475546,0.225918,0.001637,-0.001492,0.249483,1300,2.4682
0.1607,9,-0.1684,-0.0000,-0.0092,-0.1119,6.00,87.69,93.69,6.1684,1.1054,3.3046,0.478184,0.226486,0.001842,0.000373,0.249483,1295,2.4818
0.1807,10,-0.1684,-0.0000,-0.0092,-0.1119,6.00,87.69,93.69,6.1684,1.2288,3.3046,0.478390,0.226486,0.002048,0.000373,0.249483,1295,2.4818
0.2008,11,-0.1913,-0.0000,-0.0102,-0.1119,6.00,87.69,93.69,6.1913,1.3526,3.3062,0.479551,0.227441,0.002254,0.000373,0.249483,1295,2.5047
0.2209,12,-0.1913,-0.0000,-0.0102,-0.2238,6.00,87.69,93.69,6.1913,1.4764,3.3062,0.480131,0.227441,0.002461,0.000746,0.249483,1294,2.5047
0.2410,13,-0.1913,-0.0000,-0.0102,-0.2238,6.00,87.69,93.69,6.1913,1.6002,3.3062,0.480337,0.227441,0.002667,0.000746,0.249483,1294,2.5047
0.2610,14,-0.2234,-0.0000,-0.0223,0.4476,6.00,87.69,93.69,6.2234,1.7247,3.3085,0.479644,0.228779,0.002875,-0.001492,0.249483,1295,2.5368
0.2811,15,-0.2234,-0.0000,-0.0223,0.4476,6.00,87.69,93.69,6.2234,1.8492,3.3085,0.479851,0.228779,0.003082,-0.001492,0.249483,1295,2.5368
0.3012,16,-0.2562,-0.0000,-0.0236,-0.0000,6.00,87.69,93.69,6.2562,1.9743,3.3108,0.482918,0.230145,0.003291,0.000000,0.249483,1293,2.5696
0.3213,17,-0.2562,-0.0000,-0.0236,-0.0000,6.00,87.69,93.69,6.2562,2.0994,3.3108,0.483126,0.230145,0.003499,0.000000,0.249483,1293,2.5696
0.3414,18,-0.2562,-0.0000,-0.0236,-0.0000,6.00,87.69,93.69,6.2562,2.2246,3.3108,0.483335,0.230145,0.003708,0.000000,0.249483,1293,2.5696
