t_s,iteration,sensor_mode,new_data,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,imu,1,-0.1175,0.0000,-0.0000,-0.1175,0.1607,90.00,85.03,90.1175,0.0000,0.550000,0.801044,0.000010,-0.000000,0.000000,1480
0.0306,7,imu,1,-0.0678,0.0000,-0.0000,-0.0678,0.177,90.00,85.03,90.0678,0.0000,0.550000,0.800603,0.009163,-0.000000,0.000000,1460
0.1277,26,imu,1,-0.0408,0.0000,-0.0000,-0.0408,0.1473,90.00,85.03,90.0408,0.0000,0.550000,0.800363,0.029143,-0.000000,0.000000,1440
0.1783,36,imu,1,-0.0656,0.0000,-0.0000,-0.0656,0.0716,90.00,85.03,90.0656,0.0000,0.550000,0.800583,0.015214,-0.000000,0.000000,1420
0.3302,66,imu,1,-0.0524,-0.6714,-0.0000,-0.0524,-0.0427,90.00,85.03,90.0524,0.0000,0.550000,0.800465,0.045602,0.003730,0.000000,1400
0.3809,76,imu,1,-0.0077,-0.3357,-0.0000,-0.0077,-0.1372,90.00,85.03,90.0077,0.0000,0.550000,0.800069,0.015198,0.001865,0.000000,1380
0.4771,95,imu,1,0.1769,-1.9024,0.1800,0.1769,-0.5381,90.00,85.03,89.8231,0.0000,0.550000,0.798428,0.028814,0.010569,0.000000,1360
0.5278,105,imu,1,0.3441,-3.1334,0.3600,0.3441,-0.7694,90.00,85.03,89.6559,0.0000,0.550000,0.796942,0.015132,0.017408,0.000000,1340
0.5784,115,imu,1,0.6861,-5.2596,0.7200,0.6861,-0.9087,90.00,85.03,89.3139,0.0000,0.550000,0.793901,0.015079,0.029220,0.000000,1320
0.6291,125,imu,1,1.1185,-8.6167,1.2600,1.1185,-1.0858,90.00,85.03,88.8815,0.0000,0.550000,0.790058,0.015010,0.047871,0.000000,1300
0.6798,135,imu,1,1.8569,-12.8692,2.1600,1.8569,-1.1205,90.00,85.03,88.1431,0.0000,0.550000,0.783494,0.014905,0.071495,0.000000,1280
0.7307,145,imu,1,2.9141,-18.4645,3.2400,2.9141,-1.0751,90.00,85.03,87.0859,0.0000,0.550000,0.774097,0.014779,0.102580,0.000000,1268
