t_s,iteration,sensor_mode,new_data,quat_changed,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,imu,1,1,0.0229,-0.0000,-0.0000,0.0229,-0.0539,20.00,84.88,19.9771,0.0005,0.999070,0.177574,0.000002,0.000000,0.821495,1498
0.0099,2,imu,1,0,0.0229,-0.0000,-0.0000,0.0229,-0.0539,20.00,84.88,19.9771,0.1977,0.999727,0.177574,0.000659,0.000000,0.821495,1496
0.0150,3,imu,1,0,0.0229,-0.0000,-0.0000,0.0229,-0.0539,20.00,84.88,19.9771,0.2990,1.000000,0.177574,0.000997,0.000000,0.821495,1494
0.0200,4,imu,1,0,0.0229,-0.0000,-0.0000,0.0229,-0.0539,20.00,84.88,19.9771,0.2990,1.000000,0.177574,0.000997,0.000000,0.821495,1492
0.0251,5,imu,1,1,0.0232,-0.0000,-0.0000,0.0232,-0.1115,20.00,84.88,19.9768,0.2990,1.000000,0.177572,0.000997,0.000000,0.821495,1490
0.0302,6,imu,1,0,0.0232,-0.0000,-0.0000,0.0232,-0.1115,20.00,84.88,19.9768,0.2990,1.000000,0.177572,0.000997,0.000000,0.821495,1488
0.0352,7,imu,1,0,0.0232,-0.0000,-0.0000,0.0232,-0.1115,20.00,84.88,19.9768,0.2990,1.000000,0.177572,0.000997,0.000000,0.821495,1486
0.0403,8,imu,1,0,0.0232,-0.0000,-0.0000,0.0232,-0.1115,20.00,84.88,19.9768,0.2990,1.000000,0.177572,0.000997,0.000000,0.821495,1484
0.0454,9,imu,1,1,0.0233,-0.0000,-0.0000,0.0233,-0.1641,20.00,84.88,19.9767,0.2990,1.000000,0.177570,0.000997,0.000000,0.821495,1482
0.0504,10,imu,1,0,0.0233,-0.0000,-0.0000,0.0233,-0.1641,20.00,84.88,19.9767,0.2990,1.000000,0.177570,0.000997,0.000000,0.821495,1480
0.0555,11,imu,1,0,0.0233,-0.0000,-0.0000,0.0233,-0.1641,20.00,84.88,19.9767,0.2990,1.000000,0.177570,0.000997,0.000000,0.821495,1478
0.0606,12,imu,1,0,0.0233,-0.0000,-0.0000,0.0233,-0.1641,20.00,84.88,19.9767,0.2990,1.000000,0.177570,0.000997,0.000000,0.821495,1476
0.0656,13,imu,1,0,0.0233,-0.0000,-0.0000,0.0233,-0.1641,20.00,84.88,19.9767,0.2990,1.000000,0.177570,0.000997,0.000000,0.821495,1474
0.0707,14,imu,1,0,0.0233,-0.0000,-0.0000,0.0233,-0.1641,20.00,84.88,19.9767,0.2990,1.000000,0.177570,0.000997,0.000000,0.821495,1472
0.0758,15,imu,1,0,0.0233,-0.0000,-0.0000,0.0233,-0.1641,20.00,84.88,19.9767,0.2990,1.000000,0.177570,0.000997,0.000000,0.821495,1470
0.0809,16,imu,1,0,0.0233,-0.0000,-0.0000,0.0233,-0.1641,20.00,84.88,19.9767,0.2990,1.000000,0.177570,0.000997,0.000000,0.821495,1468
0.0859,17,imu,1,0,0.0233,-0.0000,-0.0000,0.0233,-0.1641,20.00,84.88,19.9767,0.2990,1.000000,0.177570,0.000997,0.000000,0.821495,1466
0.0910,18,imu,1,0,0.0233,-0.0000,-0.0000,0.0233,-0.1641,20.00,84.88,19.9767,0.2990,1.000000,0.177570,0.000997,0.000000,0.821495,1464
0.0961,19,imu,1,0,0.0233,-0.0000,-0.0000,0.0233,-0.1641,20.00,84.88,19.9767,0.2990,1.000000,0.177570,0.000997,0.000000,0.821495,1462
0.1011,20,imu,1,0,0.0233,-0.0000,-0.0000,0.0233,-0.1641,20.00,84.88,19.9767,0.2990,1.000000,0.177570,0.000997,0.000000,0.821495,1460
0.1062,21,imu,1,0,0.0233,-0.0000,-0.0000,0.0233,-0.1641,20.00,84.88,19.9767,0.2990,1.000000,0.177570,0.000997,0.000000,0.821495,1458
0.1113,22,imu,1,0,0.0233,-0.0000,-0.0000,0.0233,-0.1641,20.00,84.88,19.9767,0.2990,1.000000,0.177570,0.000997,0.000000,0.821495,1456
0.1163,23,imu,1,1,0.0236,-0.0000,-0.0000,0.0236,-0.2217,20.00,84.88,19.9764,0.2990,1.000000,0.177568,0.000997,0.000000,0.821495,1454
0.1214,24,imu,1,0,0.0236,-0.0000,-0.0000,0.0236,-0.2217,20.00,84.88,19.9764,0.2990,1.000000,0.177568,0.000997,0.000000,0.821495,1452
0.1265,25,imu,1,1,-0.0343,-0.0000,-0.0000,-0.0343,-0.2219,20.00,84.88,20.0343,0.2990,1.000000,0.178083,0.000997,0.000000,0.821495,1450
0.1315,26,imu,1,0,-0.0343,-0.0000,-0.0000,-0.0343,-0.2219,20.00,84.88,20.0343,0.2990,1.000000,0.178083,0.000997,0.000000,0.821495,1448
0.1366,27,imu,1,1,-0.0346,-0.0000,-0.0000,-0.0346,-0.1644,20.00,84.88,20.0346,0.2990,1.000000,0.178085,0.000997,0.000000,0.821495,1446
0.1417,28,imu,1,0,-0.0346,-0.0000,-0.0000,-0.0346,-0.1644,20.00,84.88,20.0346,0.2990,1.000000,0.178085,0.000997,0.000000,0.821495,1444
0.1467,29,imu,1,0,-0.0346,-0.0000,-0.0000,-0.0346,-0.1644,20.00,84.88,20.0346,0.2990,1.000000,0.178085,0.000997,0.000000,0.821495,1442
0.1518,30,imu,1,0,-0.0346,-0.0000,-0.0000,-0.0346,-0.1644,20.00,84.88,20.0346,0.2990,1.000000,0.178085,0.000997,0.000000,0.821495,1440
0.1569,31,imu,1,0,-0.0346,-0.0000,-0.0000,-0.0346,-0.1644,20.00,84.88,20.0346,0.2990,1.000000,0.178085,0.000997,0.000000,0.821495,1438
0.1619,32,imu,1,0,-0.0346,-0.0000,-0.0000,-0.0346,-0.1644,20.00,84.88,20.0346,0.2990,1.000000,0.178085,0.000997,0.000000,0.821495,1436
0.1670,33,imu,1,0,-0.0346,-0.0000,-0.0000,-0.0346,-0.1644,20.00,84.88,20.0346,0.2990,1.000000,0.178085,0.000997,0.000000,0.821495,1434
0.1720,34,imu,1,1,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1432
0.1771,35,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1430
0.1822,36,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1428
0.1873,37,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1426
0.1924,38,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1424
0.1974,39,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1422
0.2025,40,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1420
0.2076,41,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1418
0.2126,42,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1416
0.2177,43,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1414
0.2228,44,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1412
0.2278,45,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1410
0.2329,46,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1408
0.2380,47,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1406
0.2430,48,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1404
0.2481,49,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1402
0.2531,50,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1400
0.2582,51,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1398
0.2633,52,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1396
0.2684,53,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1394
0.2734,54,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1392
0.2790,55,imu,1,0,0.0184,-0.0000,-0.0000,0.0184,-0.1736,20.00,84.88,19.9816,0.2990,1.000000,0.177614,0.000997,0.000000,0.821495,1390
0.2841,56,imu,1,1,0.0183,-0.0000,-0.0000,0.0183,-0.1209,20.00,84.88,19.9817,0.2990,1.000000,0.177615,0.000997,0.000000,0.821495,1388
