t_s,iteration,psi_imu_deg,psi_enc_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0008,-0.0000,-0.0000,90.00,90.0008,0.740001,0.100001,0.000000,0.640000,1197,88.7681
0.0201,2,-0.0008,-0.0000,-0.0000,90.00,90.0008,0.740001,0.100001,0.000000,0.640000,1197,88.7681
0.0403,3,-0.0005,-0.0000,-0.0000,90.00,90.0005,0.740001,0.100001,0.000000,0.640000,1197,88.7679
0.0605,4,-0.0005,-0.0000,-0.0000,90.00,90.0005,0.740001,0.100001,0.000000,0.640000,1197,88.7679
0.0806,5,-0.0005,-0.0000,-0.0000,90.00,90.0005,0.740001,0.100001,0.000000,0.640000,1197,88.7679
0.1007,6,-0.0005,-0.0000,-0.0000,90.00,90.0005,0.740001,0.100001,0.000000,0.640000,1197,88.7679
0.1208,7,-0.0005,-0.0000,-0.0000,90.00,90.0005,0.740001,0.100001,0.000000,0.640000,1197,88.7679
0.1409,8,-0.0005,-0.0000,-0.0000,90.00,90.0005,0.740001,0.100001,0.000000,0.640000,1197,88.7679
0.1610,9,-0.0005,-0.0000,-0.0000,90.00,90.0005,0.740001,0.100001,0.000000,0.640000,1197,88.7679
0.1810,10,-0.0005,-0.0000,-0.0000,90.00,90.0005,0.740001,0.100001,0.000000,0.640000,1197,88.7679
0.2011,11,-0.0005,-0.0000,-0.0000,90.00,90.0005,0.740001,0.100001,0.000000,0.640000,1197,88.7679
0.2212,12,-0.0005,-0.0000,-0.0000,90.00,90.0005,0.740001,0.100001,0.000000,0.640000,1197,88.7679
0.2413,13,-0.0005,-0.0000,0.2238,90.00,90.0005,0.739752,0.100001,-0.000249,0.640000,1197,88.7679
0.2617,14,-0.0005,-0.0000,0.2238,90.00,90.0005,0.739752,0.100001,-0.000249,0.640000,1197,88.7679
0.2818,15,-0.2660,-0.0000,0.2238,90.00,90.2660,0.740047,0.100296,-0.000249,0.640000,1197,89.0334
0.3019,16,-0.2660,-0.0000,0.4476,90.00,90.2660,0.739798,0.100296,-0.000497,0.640000,1197,89.0334
0.3220,17,-0.2660,-0.0000,0.4476,90.00,90.2660,0.739798,0.100296,-0.000497,0.640000,1197,89.0334
0.3420,18,-0.0235,-0.0000,0.4476,90.00,90.0235,0.739529,0.100026,-0.000497,0.640000,1197,88.7908
0.3621,19,-0.0235,-0.0000,0.4476,90.00,90.0235,0.739529,0.100026,-0.000497,0.640000,1197,88.7908
0.3822,20,-0.0424,-0.0000,0.4476,90.00,90.0424,0.739550,0.100047,-0.000497,0.640000,1197,88.8098
0.4023,21,-0.0424,0.1800,0.3357,90.00,90.0424,0.739674,0.100047,-0.000373,0.640000,1197,88.8098
0.4224,22,-0.0424,0.1800,0.3357,90.00,90.0424,0.739674,0.100047,-0.000373,0.640000,1197,88.8098
0.4424,23,-0.0736,0.1800,3.4691,90.00,90.0736,0.736227,0.100082,-0.003855,0.640000,1198,88.8409
0.4625,24,-0.0736,0.1800,3.4691,90.00,90.0736,0.736227,0.100082,-0.003855,0.640000,1198,88.8409
0.4826,25,-0.4269,0.1800,3.4691,90.00,90.4269,0.736620,0.100474,-0.003855,0.640000,1198,89.1942
0.5027,26,-0.4269,0.3600,1.7905,90.00,90.4269,0.738485,0.100474,-0.001989,0.640000,1198,89.1942
0.5228,27,-0.4269,0.3600,1.7905,90.00,90.4269,0.738485,0.100474,-0.001989,0.640000,1198,89.1942
0.5429,28,-0.4691,0.3600,1.1191,90.00,90.4691,0.739278,0.100521,-0.001243,0.640000,1197,89.2364
