t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0231,-0.0000,0.0021,-0.0000,-20.00,82.79,62.79,-20.0231,-0.111383,-0.333718,0.000000,0.222334,1566,7.187
0.0201,2,0.0231,-0.0000,0.0021,-0.0000,-20.00,82.79,62.79,-20.0231,-0.111383,-0.333718,0.000000,0.222334,1566,7.187
0.0402,3,0.0231,-0.0000,0.0021,-0.0000,-20.00,82.79,62.79,-20.0231,-0.111383,-0.333718,0.000000,0.222334,1566,7.187
0.0603,4,0.0231,-0.0000,0.0021,-0.0000,-20.00,82.79,62.79,-20.0231,-0.111383,-0.333718,0.000000,0.222334,1566,7.187
0.0803,5,0.0231,-0.0000,0.0021,-0.0000,-20.00,82.79,62.79,-20.0231,-0.111383,-0.333718,0.000000,0.222334,1566,7.187
0.1004,6,0.0231,-0.0000,0.0021,-0.0000,-20.00,82.79,62.79,-20.0231,-0.111383,-0.333718,0.000000,0.222334,1566,7.187
0.1206,7,0.0231,-0.0000,0.0021,-0.0000,-20.00,82.79,62.79,-20.0231,-0.111383,-0.333718,0.000000,0.222334,1566,7.187
0.1406,8,0.0231,-0.0000,0.0021,-0.0000,-20.00,82.79,62.79,-20.0231,-0.111383,-0.333718,0.000000,0.222334,1566,7.187
0.1607,9,0.0231,-0.0000,0.0021,-0.0000,-20.00,82.79,62.79,-20.0231,-0.111383,-0.333718,0.000000,0.222334,1566,7.187
0.1808,10,0.0231,-0.0000,0.0025,-0.0000,-20.00,82.79,62.79,-20.0231,-0.111383,-0.333718,0.000000,0.222334,1566,7.187
0.2009,11,0.0231,-0.0000,0.0025,-0.0000,-20.00,82.79,62.79,-20.0231,-0.111383,-0.333718,0.000000,0.222334,1566,7.187
0.2210,12,0.0231,-0.0000,0.0025,-0.0000,-20.00,82.79,62.79,-20.0231,-0.111383,-0.333718,0.000000,0.222334,1566,7.187
0.2410,13,0.0160,-0.0000,0.0021,-0.5595,-20.00,82.79,62.79,-20.0160,-0.109401,-0.333600,0.001865,0.222334,1566,7.194
0.2611,14,0.0160,-0.0000,0.0021,-0.5595,-20.00,82.79,62.79,-20.0160,-0.109401,-0.333600,0.001865,0.222334,1566,7.194
0.2812,15,-0.0332,-0.0000,0.002,-0.5595,-20.00,82.79,62.79,-19.9668,-0.108580,-0.332779,0.001865,0.222334,1565,7.2433
0.3013,16,-0.0332,-0.1800,0.002,-1.5667,-20.00,82.79,62.79,-19.9668,-0.105223,-0.332779,0.005222,0.222334,1564,7.2433
0.3215,17,-0.0332,-0.1800,0.002,-1.5667,-20.00,82.79,62.79,-19.9668,-0.105223,-0.332779,0.005222,0.222334,1564,7.2433
0.3416,18,-0.1243,-0.1800,0.0026,-2.4619,-20.00,82.79,62.79,-19.8757,-0.100722,-0.331262,0.008206,0.222334,1562,7.3343
0.3618,19,-0.1243,-0.1800,0.0026,-2.4619,-20.00,82.79,62.79,-19.8757,-0.100722,-0.331262,0.008206,0.222334,1562,7.3343
0.3819,20,-0.2435,-0.3600,0.0029,-2.4619,-20.00,82.79,62.79,-19.7565,-0.098735,-0.329276,0.008206,0.222334,1562,7.4535
0.4020,21,-0.2435,-0.3600,0.0029,-2.2381,-20.00,82.79,62.79,-19.7565,-0.099481,-0.329276,0.007460,0.222334,1562,7.4535
0.4221,22,-0.2435,-0.3600,0.0029,-2.2381,-20.00,82.79,62.79,-19.7565,-0.099481,-0.329276,0.007460,0.222334,1562,7.4535
0.4422,23,-0.3556,-0.3600,0.0031,-2.0143,-20.00,82.79,62.79,-19.6444,-0.098358,-0.327406,0.006714,0.222334,1561,7.5657
0.4623,24,-0.3556,-0.5400,0.0031,-2.0143,-20.00,82.79,62.79,-19.6444,-0.098358,-0.327406,0.006714,0.222334,1561,7.5657
0.4824,25,-0.4537,-0.5400,0.0028,-2.0143,-20.00,82.79,62.79,-19.5463,-0.096723,-0.325771,0.006714,0.222334,1561,7.6638
0.5025,26,-0.4537,-0.5400,0.0028,-1.9024,-20.00,82.79,62.79,-19.5463,-0.097096,-0.325771,0.006341,0.222334,1561,7.6638
0.5226,27,-0.4537,-0.5400,0.0028,-1.9024,-20.00,82.79,62.79,-19.5463,-0.097096,-0.325771,0.006341,0.222334,1561,7.6638
0.5427,28,-0.5448,-0.5400,0.0094,-1.6786,-20.00,82.79,62.79,-19.4552,-0.096324,-0.324254,0.005595,0.222334,1561,7.7548
