t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0553,-0.0000,0.0041,-0.0000,-20.00,77.38,57.38,-19.9447,-0.3989,-0.444101,-0.443215,-0.000886,0.000000,0.000000,1550,12.6792
0.0201,2,-0.0553,-0.0000,0.0041,-0.0000,-20.00,77.38,57.38,-19.9447,-0.7978,-0.444988,-0.443215,-0.001773,0.000000,0.000000,1600,12.6792
0.0402,3,-0.0553,-0.0000,0.0041,-0.0000,-20.00,77.38,57.38,-19.9447,-1.1967,-0.445874,-0.443215,-0.002659,0.000000,0.000000,1650,12.6792
0.0603,4,-0.0553,-0.0000,0.0041,-0.0000,-20.00,77.38,57.38,-19.9447,-1.5956,-0.446761,-0.443215,-0.003546,0.000000,0.000000,1692,12.6792
0.0804,5,-0.0591,-0.0000,0.0052,-0.0000,-20.00,77.38,57.38,-19.9409,-1.9944,-0.447564,-0.443132,-0.004432,0.000000,0.000000,1692,12.6829
0.1005,6,-0.0591,-0.0000,0.0052,-0.0000,-20.00,77.38,57.38,-19.9409,-2.3932,-0.448450,-0.443132,-0.005318,0.000000,0.000000,1693,12.6829
0.1207,7,-0.0591,-0.0000,0.0052,-0.0000,-20.00,77.38,57.38,-19.9409,-2.7920,-0.449336,-0.443132,-0.006205,0.000000,0.000000,1693,12.6829
0.1408,8,-0.0591,-0.0000,0.0052,-0.0000,-20.00,77.38,57.38,-19.9409,-3.1908,-0.450222,-0.443132,-0.007091,0.000000,0.000000,1693,12.6829
0.1609,9,-0.0591,-0.0000,0.0052,-0.0000,-20.00,77.38,57.38,-19.9409,-3.5897,-0.451109,-0.443132,-0.007977,0.000000,0.000000,1694,12.6829
0.1810,10,-0.0591,-0.0000,0.0052,-0.0000,-20.00,77.38,57.38,-19.9409,-3.9885,-0.451995,-0.443132,-0.008863,0.000000,0.000000,1694,12.6829
0.2011,11,-0.0591,-0.0000,0.0052,-0.0000,-20.00,77.38,57.38,-19.9409,-4.3873,-0.452881,-0.443132,-0.009750,0.000000,0.000000,1694,12.6829
0.2211,12,-0.0591,-0.0000,0.0052,-0.0000,-20.00,77.38,57.38,-19.9409,-4.7861,-0.453767,-0.443132,-0.010636,0.000000,0.000000,1695,12.6829
0.2412,13,-0.0591,-0.0000,0.0052,-0.0000,-20.00,77.38,57.38,-19.9409,-5.1849,-0.454654,-0.443132,-0.011522,0.000000,0.000000,1695,12.6829
0.2614,14,-0.0591,-0.0000,0.0052,-0.0000,-20.00,77.38,57.38,-19.9409,-5.5838,-0.455540,-0.443132,-0.012408,0.000000,0.000000,1695,12.6829
0.2815,15,-0.0747,-0.1800,-0.0052,-1.1191,-20.00,77.38,57.38,-19.9253,-5.9823,-0.451104,-0.442783,-0.013294,0.004974,0.000000,1694,12.6986
0.3015,16,-0.0747,-0.1800,-0.0052,-1.1191,-20.00,77.38,57.38,-19.9253,-6.3808,-0.451989,-0.442783,-0.014179,0.004974,0.000000,1694,12.6986
0.3216,17,-0.0747,-0.1800,-0.0052,-1.1191,-20.00,77.38,57.38,-19.9253,-6.7793,-0.452875,-0.442783,-0.015065,0.004974,0.000000,1694,12.7791
0.3417,18,-0.1553,-0.1800,-0.0049,-4.0286,-20.00,77.38,57.38,-19.8447,-7.1762,-0.439036,-0.440993,-0.015947,0.017905,0.000000,1689,12.7791
0.3618,19,-0.1553,-0.3600,-0.0049,-4.0286,-20.00,77.38,57.38,-19.8447,-7.5731,-0.439918,-0.440993,-0.016829,0.017905,0.000000,1689,12.7791
0.3819,20,-0.4118,-0.5400,0.0151,-9.4001,-20.00,77.38,57.38,-19.5882,-7.9648,-0.411216,-0.435294,-0.017700,0.041778,0.000000,1679,13.0356
0.4020,21,-0.4118,-0.7200,0.0151,-9.4001,-20.00,77.38,57.38,-19.5882,-8.3566,-0.412086,-0.435294,-0.018570,0.041778,0.000000,1679,13.0356
0.4222,22,-0.4118,-1.2600,0.0181,-9.4001,-20.00,77.38,57.38,-19.5882,-8.7484,-0.412957,-0.435294,-0.019441,0.041778,0.000000,1679,13.5922
0.4422,23,-0.9684,-1.6200,0.0181,-17.3454,-20.00,77.38,57.38,-19.0316,-9.1290,-0.366121,-0.422925,-0.020287,0.077091,0.000000,1662,13.5922
0.4623,24,-0.9684,-2.1600,0.0181,-17.3454,-20.00,77.38,57.38,-19.0316,-9.5096,-0.366967,-0.422925,-0.021132,0.077091,0.000000,1662,13.5922
0.4827,25,-2.1503,-3.0600,0.033,-34.6908,-20.00,77.38,57.38,-17.8497,-9.8666,-0.264404,-0.396659,-0.021926,0.154181,0.000000,1624,14.7742
0.5029,26,-2.1503,-3.7800,0.033,-34.6908,-20.00,77.38,57.38,-17.8497,-10.2236,-0.265197,-0.396659,-0.022719,0.154181,0.000000,1624,14.7742
0.5230,27,-4.0759,-4.6800,0.0661,-34.6908,-20.00,77.38,57.38,-15.9241,-10.5421,-0.223115,-0.353870,-0.023427,0.154181,0.000000,1608,16.6997
0.5431,28,-4.0759,-5.7600,0.0661,-48.7909,-20.00,77.38,57.38,-15.9241,-10.8606,-0.161156,-0.353870,-0.024135,0.216849,0.000000,1585,16.6997
0.5632,29,-4.0759,-6.6600,0.0661,-48.7909,-20.00,77.38,57.38,-15.9241,-11.1791,-0.161864,-0.353870,-0.024842,0.216849,0.000000,1585,16.6997
0.5833,30,-6.6586,-8.2800,0.1087,-56.6243,-20.00,77.38,57.38,-13.3414,-11.4459,-0.070248,-0.296477,-0.025435,0.251664,0.000000,1551,19.2824
0.6034,31,-6.6586,-9.1800,0.1087,-56.6243,-20.00,77.38,57.38,-13.3414,-11.7127,-0.070841,-0.296477,-0.026028,0.251664,0.000000,1551,19.2824
0.6235,32,-9.6805,-10.6200,0.1428,-56.6243,-20.00,77.38,57.38,-10.3195,-11.9191,-0.004145,-0.229322,-0.026487,0.251664,0.000000,1526,22.3044
0.6436,33,-9.6805,-11.8800,0.1428,-64.9054,-20.00,77.38,57.38,-10.3195,-12.1255,0.032201,-0.229322,-0.026946,0.288468,0.000000,1476,22.3044
0.6637,34,-9.6805,-12.9600,0.1428,-64.9054,-20.00,77.38,57.38,-10.3195,-12.3319,0.031742,-0.229322,-0.027404,0.288468,0.000000,1463,22.3044
0.6838,35,-12.9297,-14.7600,0.1983,-64.3458,-20.00,77.38,57.38,-7.0703,-12.4733,0.101146,-0.157117,-0.027718,0.285982,0.000000,1437,25.5536
