t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0424,-0.0000,0.0031,-0.0000,45.00,45.0424,0.600000,1.751650,0.000000,1.343503,1250,20.9732
0.0201,2,-0.0424,-0.0000,0.0031,-0.0000,45.00,45.0424,0.600000,1.751650,0.000000,1.343503,1250,20.9732
0.0402,3,-0.0424,-0.0000,0.0031,-0.0000,45.00,45.0424,0.600000,1.751650,0.000000,1.343503,1250,20.9732
0.0603,4,-0.0424,-0.0000,0.0031,-0.0000,45.00,45.0424,0.600000,1.751650,0.000000,1.343503,1250,20.9732
0.0803,5,-0.0424,-0.0000,0.0031,-0.0000,45.00,45.0424,0.600000,1.751650,0.000000,1.343503,1250,20.9732
0.1004,6,-0.0424,-0.0000,0.0031,-0.0000,45.00,45.0424,0.600000,1.751650,0.000000,1.343503,1250,20.9732
0.1205,7,-0.0424,-0.0000,0.0031,-0.0000,45.00,45.0424,0.600000,1.751650,0.000000,1.343503,1250,20.9732
0.1406,8,-0.0424,-0.0000,0.0031,-0.0000,45.00,45.0424,0.600000,1.751650,0.000000,1.343503,1250,20.9732
0.1607,9,-0.0424,-0.0000,0.0031,-0.0000,45.00,45.0424,0.600000,1.751650,0.000000,1.343503,1250,20.9732
0.1807,10,-0.0424,-0.0000,0.0031,-0.0000,45.00,45.0424,0.600000,1.751650,0.000000,1.343503,1250,20.9732
0.2008,11,-0.0424,-0.0000,0.0031,-0.0000,45.00,45.0424,0.600000,1.751650,0.000000,1.343503,1250,20.9732
0.2209,12,-0.0424,-0.0000,0.0031,-0.0000,45.00,45.0424,0.600000,1.751650,0.000000,1.343503,1250,20.9732
0.2410,13,-0.0424,-0.0000,0.0031,-0.0000,45.00,45.0424,0.600000,1.751650,0.000000,1.343503,1250,20.9732
