t_s,phase,step_idx,pwm_target,pwm_actual,psi_imu_deg,psi_enc_deg,psi_dot_dps,pitch_raw_deg,rest_angle_deg
0.0090,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.0217,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.0417,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.0661,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.0819,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.1054,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.1221,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.1422,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.1661,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.1823,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.2061,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.2225,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.2427,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.2672,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.2828,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.3073,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.3231,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.3444,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.3664,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.3834,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.4107,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.4242,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.4473,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.4669,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.4851,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.5112,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.5259,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.5477,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.5692,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.5860,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.6109,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.6262,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.6500,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.6698,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.6866,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.7115,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.7268,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.7502,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.7702,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.7871,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.8112,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.8272,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.8501,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.8701,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.8876,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.9124,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.9278,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.9505,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.9706,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
0.9881,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.0112,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.0283,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.0506,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.0705,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.0886,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.1132,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.1288,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.1504,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.1704,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.1890,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.2122,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.2293,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.2506,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.2705,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.2904,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.3133,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.3304,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.3554,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.3702,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.3901,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.4127,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.4299,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.4518,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.4712,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.4903,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.5126,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.5297,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.5517,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.5715,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.5901,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.6127,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.6301,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.6516,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.6716,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.6900,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.7126,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.7302,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.7516,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.7716,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.7913,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.8131,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.8306,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.8533,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.8708,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.8909,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.9132,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.9311,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.9535,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.9712,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
1.9913,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.0142,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.0315,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.0551,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.0717,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.0917,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.1153,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.1319,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.1548,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.1721,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.1933,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.2153,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.2323,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.2559,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.2732,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.2944,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.3177,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.3341,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.3603,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.3748,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.3963,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.4176,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.4350,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
2.4579,repos,0,1500,1500,0.0587,-0.0000,-0.0000,5.6022,84.34
