t_s,iteration,psi_imu_deg,psi_enc_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_norm_unsat,u_p,u_d,u_g,pwm_target_us,pwm_actual_us,pitch_raw_deg
0.0000,1,-0.0000,-0.0000,-1.5667,5.00,5.0000,0.261224,0.261224,0.055556,0.013926,0.191743,1377,1497,-81.0588
0.0201,2,-0.0000,-0.0000,-1.5667,5.00,5.0000,0.261224,0.261224,0.055556,0.013926,0.191743,1377,1494,-81.0588
0.0402,3,-0.0000,-0.0000,-2.6857,5.00,5.0000,0.271171,0.271171,0.055556,0.023873,0.191743,1373,1491,-81.1620
0.0603,4,-0.0000,-0.0000,-2.6857,5.00,5.0000,0.271171,0.271171,0.055556,0.023873,0.191743,1373,1488,-81.1620
0.0804,5,0.1800,0.1800,-2.6857,5.00,4.8200,0.269171,0.269171,0.053556,0.023873,0.191743,1374,1485,-81.2789
0.1005,6,0.1800,0.1800,-3.5810,5.00,4.8200,0.277129,0.277129,0.053556,0.031831,0.191743,1371,1482,-81.2789
0.1206,7,0.3600,0.3600,-3.5810,5.00,4.6400,0.275129,0.275129,0.051556,0.031831,0.191743,1371,1479,-81.2789
0.1407,8,0.3600,0.3600,-4.4762,5.00,4.6400,0.283087,0.283087,0.051556,0.039789,0.191743,1368,1476,-81.4758
0.1608,9,0.5400,0.5400,-4.4762,5.00,4.4600,0.281087,0.281087,0.049556,0.039789,0.191743,1369,1473,-81.4758
0.1809,10,0.5400,0.5400,-4.4762,5.00,4.4600,0.281087,0.281087,0.049556,0.039789,0.191743,1369,1470,-81.6653
0.2010,11,0.7200,0.7200,-4.9239,5.00,4.2800,0.283066,0.283066,0.047556,0.043768,0.191743,1368,1467,-81.6653
0.2211,12,0.7200,0.7200,-4.9239,5.00,4.2800,0.283066,0.283066,0.047556,0.043768,0.191743,1368,1464,-81.6653
0.2412,13,0.9000,0.9000,-4.9239,5.00,4.1000,0.281066,0.281066,0.045556,0.043768,0.191743,1369,1461,-81.8997
0.2613,14,0.9000,1.0800,-4.9239,5.00,4.1000,0.281066,0.281066,0.045556,0.043768,0.191743,1369,1458,-81.8997
0.2814,15,1.0800,1.0800,-4.9239,5.00,3.9200,0.279066,0.279066,0.043556,0.043768,0.191743,1370,1455,-82.0535
0.3015,16,1.2600,1.2600,-4.8120,5.00,3.7400,0.276071,0.276071,0.041556,0.042773,0.191743,1371,1452,-82.0535
0.3216,17,1.2600,1.2600,-4.8120,5.00,3.7400,0.276071,0.276071,0.041556,0.042773,0.191743,1371,1449,-82.0535
0.3417,18,1.2600,1.4400,-4.3643,5.00,3.7400,0.272092,0.272092,0.041556,0.038794,0.191743,1372,1446,-82.2772
0.3618,19,1.4400,1.4400,-4.3643,5.00,3.5600,0.270092,0.270092,0.039556,0.038794,0.191743,1373,1443,-82.2772
0.3819,20,1.4400,1.4400,-4.3643,5.00,3.5600,0.270092,0.270092,0.039556,0.038794,0.191743,1373,1440,-82.4595
0.4020,21,1.6200,1.6200,-3.4691,5.00,3.3800,0.260134,0.260134,0.037556,0.030836,0.191743,1377,1437,-82.4595
0.4222,22,1.6200,1.6200,-3.4691,5.00,3.3800,0.260134,0.260134,0.037556,0.030836,0.191743,1377,1434,-82.4595
0.4423,23,1.6200,1.6200,-2.4619,5.00,3.3800,0.251182,0.251182,0.037556,0.021884,0.191743,1380,1431,-82.5747
0.4624,24,1.8000,1.8000,-2.4619,5.00,3.2000,0.249182,0.249182,0.035556,0.021884,0.191743,1381,1428,-82.5747
0.4825,25,1.8000,1.8000,-2.4619,5.00,3.2000,0.249182,0.249182,0.035556,0.021884,0.191743,1381,1425,-82.6649
0.5026,26,1.8000,1.8000,-1.6786,5.00,3.2000,0.242219,0.242219,0.035556,0.014921,0.191743,1384,1422,-82.6649
0.5238,27,1.8000,1.8000,-1.6786,5.00,3.2000,0.242219,0.242219,0.035556,0.014921,0.191743,1384,1419,-82.6649
0.5439,28,1.8000,1.8000,-0.6714,5.00,3.2000,0.233266,0.233266,0.035556,0.005968,0.191743,1387,1416,-82.7134
0.5640,29,1.8000,1.8000,-0.6714,5.00,3.2000,0.233266,0.233266,0.035556,0.005968,0.191743,1387,1413,-82.7134
0.5841,30,1.8000,1.8000,-0.6714,5.00,3.2000,0.233266,0.233266,0.035556,0.005968,0.191743,1387,1410,-82.7529
0.6042,31,1.8000,1.8000,0.6714,5.00,3.2000,0.221330,0.221330,0.035556,-0.005968,0.191743,1392,1407,-82.7529
0.6243,32,1.8000,1.8000,0.6714,5.00,3.2000,0.221330,0.221330,0.035556,-0.005968,0.191743,1392,1404,-82.7529
0.6444,33,1.8000,1.8000,-0.0000,5.00,3.2000,0.227298,0.227298,0.035556,0.000000,0.191743,1389,1401,-82.7298
0.6644,34,1.8000,1.8000,-0.0000,5.00,3.2000,0.227298,0.227298,0.035556,0.000000,0.191743,1389,1398,-82.7298
0.6845,35,1.8000,1.8000,-0.0000,5.00,3.2000,0.227298,0.227298,0.035556,0.000000,0.191743,1389,1395,-82.7108
0.7046,36,1.6200,1.6200,1.4548,5.00,3.3800,0.216367,0.216367,0.037556,-0.012931,0.191743,1393,1393,-82.7108
0.7247,37,1.6200,1.6200,1.4548,5.00,3.3800,0.216367,0.216367,0.037556,-0.012931,0.191743,1393,1393,-82.7108
0.7448,38,1.6200,1.6200,1.3429,5.00,3.3800,0.217362,0.217362,0.037556,-0.011937,0.191743,1393,1393,-82.6891
0.7649,39,1.6200,1.6200,1.3429,5.00,3.3800,0.217362,0.217362,0.037556,-0.011937,0.191743,1393,1393,-82.6891
0.7850,40,1.6200,1.6200,1.3429,5.00,3.3800,0.217362,0.217362,0.037556,-0.011937,0.191743,1393,1393,-82.6117
0.8051,41,1.6200,1.6200,0.6714,5.00,3.3800,0.223330,0.223330,0.037556,-0.005968,0.191743,1391,1391,-82.6117
0.8252,42,1.6200,1.6200,0.6714,5.00,3.3800,0.223330,0.223330,0.037556,-0.005968,0.191743,1391,1391,-82.6117
0.8453,43,1.6200,1.6200,1.0072,5.00,3.3800,0.220346,0.220346,0.037556,-0.008952,0.191743,1392,1392,-82.6385
0.8654,44,1.6200,1.6200,1.0072,5.00,3.3800,0.220346,0.220346,0.037556,-0.008952,0.191743,1392,1392,-82.6385
0.8855,45,1.6200,1.6200,1.0072,5.00,3.3800,0.220346,0.220346,0.037556,-0.008952,0.191743,1392,1392,-82.6813
0.9056,46,1.6200,1.6200,-1.7905,5.00,3.3800,0.245214,0.245214,0.037556,0.015915,0.191743,1383,1389,-82.6813
0.9257,47,1.6200,1.6200,-1.7905,5.00,3.3800,0.245214,0.245214,0.037556,0.015915,0.191743,1383,1386,-82.6813
0.9458,48,1.6200,1.6200,-3.0215,5.00,3.3800,0.256156,0.256156,0.037556,0.026857,0.191743,1378,1383,-82.7217
0.9659,49,1.6200,1.6200,-3.0215,5.00,3.3800,0.256156,0.256156,0.037556,0.026857,0.191743,1378,1380,-82.7217
0.9860,50,1.8000,1.8000,-5.5953,5.00,3.2000,0.277034,0.277034,0.035556,0.049736,0.191743,1371,1377,-82.7925
1.0061,51,1.8000,1.8000,-5.5953,5.00,3.2000,0.277034,0.277034,0.035556,0.049736,0.191743,1371,1374,-82.7925
1.0262,52,1.8000,1.8000,-5.5953,5.00,3.2000,0.277034,0.277034,0.035556,0.049736,0.191743,1371,1371,-82.7925
1.0463,53,1.9800,1.9800,-4.8120,5.00,3.0200,0.268071,0.268071,0.033556,0.042773,0.191743,1374,1374,-82.8986
1.0664,54,1.9800,1.9800,-4.8120,5.00,3.0200,0.268071,0.268071,0.033556,0.042773,0.191743,1374,1374,-82.8986
1.0865,55,1.9800,1.9800,-6.9382,5.00,3.0200,0.286971,0.286971,0.033556,0.061673,0.191743,1367,1371,-83.0641
1.1066,56,2.1600,2.1600,-6.9382,5.00,2.8400,0.284971,0.284971,0.031556,0.061673,0.191743,1368,1368,-83.0641
1.1267,57,2.1600,2.1600,-6.9382,5.00,2.8400,0.284971,0.284971,0.031556,0.061673,0.191743,1368,1368,-83.2832
1.1468,58,2.3400,2.3400,-5.5953,5.00,2.6600,0.271034,0.271034,0.029556,0.049736,0.191743,1373,1371,-83.2832
1.1669,59,2.5200,2.5200,-5.5953,5.00,2.4800,0.269034,0.269034,0.027556,0.049736,0.191743,1374,1374,-83.2832
1.1870,60,2.5200,2.5200,-4.5881,5.00,2.4800,0.260082,0.260082,0.027556,0.040783,0.191743,1377,1377,-83.5232
1.2071,61,2.7000,2.7000,-4.5881,5.00,2.3000,0.258082,0.258082,0.025556,0.040783,0.191743,1378,1378,-83.5232
1.2272,62,2.8800,2.8800,-4.5881,5.00,2.1200,0.256082,0.256082,0.023556,0.040783,0.191743,1378,1378,-83.8117
1.2473,63,2.8800,2.8800,-6.7143,5.00,2.1200,0.274981,0.274981,0.023556,0.059683,0.191743,1371,1375,-83.8117
1.2674,64,3.0600,3.0600,-6.7143,5.00,1.9400,0.272981,0.272981,0.021556,0.059683,0.191743,1372,1372,-83.8117
1.2875,65,3.2400,3.2400,-7.0501,5.00,1.7600,0.273965,0.273965,0.019556,0.062667,0.191743,1372,1372,-84.1157
1.3077,66,3.2400,3.2400,-7.0501,5.00,1.7600,0.273965,0.273965,0.019556,0.062667,0.191743,1372,1372,-84.1157
1.3278,67,3.4200,3.4200,-7.0501,5.00,1.5800,0.271965,0.271965,0.017556,0.062667,0.191743,1373,1373,-84.3691
1.3481,68,3.6000,3.6000,-4.9239,5.00,1.4000,0.251066,0.251066,0.015556,0.043768,0.191743,1380,1376,-84.3691
1.3682,69,3.6000,3.6000,-4.9239,5.00,1.4000,0.251066,0.251066,0.015556,0.043768,0.191743,1380,1379,-84.3691
1.3883,70,3.7800,3.7800,-6.2667,5.00,1.2200,0.261002,0.261002,0.013556,0.055704,0.191743,1377,1377,-84.6541
1.4085,71,3.7800,3.7800,-6.2667,5.00,1.2200,0.261002,0.261002,0.013556,0.055704,0.191743,1377,1377,-84.6541
1.4286,72,3.9600,3.9600,-6.2667,5.00,1.0400,0.259002,0.259002,0.011556,0.055704,0.191743,1377,1377,-84.8612
1.4487,73,3.9600,4.1400,-4.2524,5.00,1.0400,0.241097,0.241097,0.011556,0.037799,0.191743,1384,1380,-84.8612
1.4688,74,4.1400,4.1400,-4.2524,5.00,0.8600,0.239097,0.239097,0.009556,0.037799,0.191743,1385,1383,-84.8612
1.4888,75,4.1400,4.1400,-2.2381,5.00,0.8600,0.221193,0.221193,0.009556,0.019894,0.191743,1392,1386,-85.0380
1.5089,76,4.1400,4.1400,-2.2381,5.00,0.8600,0.221193,0.221193,0.009556,0.019894,0.191743,1392,1389,-85.0380
1.5290,77,4.3200,4.3200,-2.2381,5.00,0.6800,0.219193,0.219193,0.007556,0.019894,0.191743,1392,1392,-85.1715
1.5491,78,4.3200,4.3200,-2.3500,5.00,0.6800,0.220187,0.220187,0.007556,0.020889,0.191743,1392,1392,-85.1715
1.5692,79,4.3200,4.3200,-2.3500,5.00,0.6800,0.220187,0.220187,0.007556,0.020889,0.191743,1392,1392,-85.1715
1.5893,80,4.3200,4.3200,1.6786,5.00,0.6800,0.184377,0.184377,0.007556,-0.014921,0.191743,1405,1395,-85.2098
1.6094,81,4.3200,4.3200,1.6786,5.00,0.6800,0.184377,0.184377,0.007556,-0.014921,0.191743,1405,1398,-85.2098
1.6295,82,4.1400,4.1400,1.6786,5.00,0.8600,0.186377,0.186377,0.009556,-0.014921,0.191743,1405,1401,-85.1711
1.6496,83,4.1400,4.1400,2.9096,5.00,0.8600,0.175436,0.175436,0.009556,-0.025863,0.191743,1409,1404,-85.1711
1.6696,84,4.1400,4.1400,2.9096,5.00,0.8600,0.175436,0.175436,0.009556,-0.025863,0.191743,1409,1407,-85.1711
1.6897,85,3.9600,3.9600,2.5738,5.00,1.0400,0.180420,0.180420,0.011556,-0.022879,0.191743,1407,1407,-85.0539
1.7098,86,3.9600,3.7800,2.5738,5.00,1.0400,0.180420,0.180420,0.011556,-0.022879,0.191743,1407,1407,-85.0539
1.7299,87,3.7800,3.7800,2.5738,5.00,1.2200,0.182420,0.182420,0.013556,-0.022879,0.191743,1406,1406,-84.8610
