t_s,psi_deg,psi_dot_dps,pwm_us
0.0001,0.0171,-0.0000,1500
0.0202,0.0171,-0.0000,1500
0.0403,0.0171,-0.0000,1500
0.0604,0.0171,-0.0000,1500
0.0805,0.0171,-0.0000,1500
0.1006,0.0171,-0.0000,1500
0.1208,-0.2397,-0.0000,1500
0.1409,-0.2397,-0.0000,1500
0.1610,-0.2397,-0.0000,1500
0.1811,-0.2397,-0.0000,1500
0.2012,-0.2397,-0.0000,1500
0.2213,-0.2397,-0.0000,1500
0.2414,-0.2397,-0.0000,1500
0.2614,-0.2397,-0.0000,1500
0.2815,-0.2397,-0.0000,1500
0.3016,-0.2397,-0.0000,1500
0.3217,0.0171,-0.0000,1500
0.3418,0.0171,-0.0000,1500
0.3620,0.0171,-0.0000,1500
0.3821,0.0171,-0.0000,1500
0.4021,0.0171,-0.0000,1500
0.4222,0.0171,-0.0000,1500
0.4423,0.0171,-0.0000,1500
0.4624,0.0171,-0.0000,1500
0.4825,0.0171,-0.0000,1500
0.5026,0.0171,-0.0000,1500
0.5227,0.0171,-0.0000,1500
0.5428,0.0171,-0.0000,1500
0.5629,-0.2337,-0.0000,1500
0.5830,-0.2337,-0.0000,1500
0.6031,-0.2337,-0.0000,1500
0.6232,-0.2337,-0.0000,1500
0.6433,-0.2337,-0.0000,1500
0.6634,0.0219,-0.0000,1500
0.6835,0.0219,-0.0000,1500
0.7036,0.0219,-0.0000,1500
0.7236,0.0219,-0.0000,1500
0.7437,0.0219,-0.0000,1500
0.7638,0.0219,-0.0000,1500
0.7839,0.0219,-0.0000,1500
0.8040,0.0219,-0.0000,1500
0.8241,0.0219,-0.0000,1500
0.8442,0.0219,-0.0000,1500
0.8643,0.0219,-0.0000,1500
0.8844,0.0219,-0.0000,1500
0.9045,0.0219,-0.0000,1500
0.9246,0.0219,-0.0000,1500
0.9447,0.0219,-0.0000,1500
0.9648,0.0219,-0.0000,1500
0.9848,0.0219,-0.0000,1500
1.0049,0.0219,-0.0000,1300
1.0250,0.0219,-0.0000,1300
1.0451,0.0219,-0.0000,1300
1.0652,0.0219,-0.0000,1300
1.0853,0.0219,-0.0000,1300
1.1054,0.0219,-0.0000,1300
1.1255,0.0219,-0.0000,1300
1.1456,0.0219,-0.0000,1300
1.1657,0.0219,-0.0000,1300
1.1858,0.0219,-0.0000,1300
1.2059,-0.2277,-0.0000,1300
1.2260,-0.2277,0.1119,1300
