t_s,angle_deg
0.0000,86.9400
0.0051,86.9400
0.0102,86.9400
0.0153,86.9400
0.0204,86.9400
0.0254,86.9400
0.0305,86.9400
0.0356,86.9400
0.0407,86.7600
0.0458,86.7600
0.0509,86.7600
0.0559,86.7600
0.0610,86.7600
0.0661,86.7600
0.0712,86.5800
0.0763,86.5800
0.0813,86.5800
0.0864,86.5800
0.0915,86.5800
0.0966,86.4000
0.1016,86.4000
0.1067,86.4000
0.1118,86.4000
0.1169,86.2200
0.1219,86.2200
0.1270,86.2200
0.1321,86.2200
0.1372,86.0400
0.1423,86.0400
0.1474,86.0400
0.1524,85.8600
0.1575,85.8600
0.1626,85.8600
0.1677,85.6800
0.1727,85.6800
0.1778,85.6800
0.1829,85.5000
0.1880,85.5000
0.1930,85.5000
0.1981,85.3200
0.2032,85.3200
0.2083,85.3200
0.2134,85.1400
0.2185,85.1400
0.2236,84.9600
0.2286,84.9600
0.2337,84.9600
0.2388,84.7800
0.2439,84.7800
0.2489,84.6000
0.2540,84.6000
0.2591,84.4200
0.2642,84.4200
0.2693,84.2400
0.2743,84.2400
0.2794,84.0600
0.2845,84.0600
0.2896,83.8800
0.2947,83.8800
0.2997,83.7000
0.3048,83.7000
0.3099,83.5200
0.3150,83.5200
0.3201,83.3400
0.3251,83.1600
0.3302,83.1600
0.3353,82.9800
0.3404,82.9800
0.3455,82.8000
0.3505,82.8000
0.3556,82.6200
0.3607,82.4400
0.3658,82.4400
0.3708,82.2600
0.3759,82.2600
0.3810,82.0800
0.3861,81.9000
0.3912,81.9000
0.3962,81.7200
0.4013,81.5400
0.4064,81.5400
0.4115,81.3600
0.4166,81.1800
0.4216,81.0000
0.4267,81.0000
0.4318,80.8200
0.4369,80.6400
0.4420,80.6400
0.4471,80.4600
0.4521,80.2800
0.4572,80.1000
0.4623,80.1000
0.4674,79.9200
0.4725,79.7400
0.4775,79.5600
0.4826,79.3800
0.4877,79.3800
0.4928,79.2000
0.4979,79.0200
0.5030,78.8400
0.5081,78.6600
0.5131,78.6600
0.5182,78.4800
0.5233,78.3000
0.5284,78.1200
0.5335,77.9400
0.5385,77.7600
0.5436,77.5800
0.5487,77.5800
0.5538,77.4000
0.5589,77.2200
0.5639,77.0400
0.5690,76.8600
0.5741,76.6800
0.5792,76.5000
0.5843,76.3200
0.5893,76.1400
0.5944,75.9600
0.5995,75.7800
0.6046,75.6000
0.6097,75.6000
0.6148,75.4200
0.6198,75.2400
0.6249,75.0600
0.6300,74.8800
0.6351,74.7000
0.6402,74.5200
0.6453,74.3400
0.6504,74.1600
0.6554,73.9800
0.6605,73.8000
0.6656,73.4400
0.6707,73.2600
0.6758,73.0800
0.6808,72.9000
0.6859,72.7200
0.6910,72.5400
0.6961,72.3600
0.7012,72.1800
0.7063,72.0000
0.7113,71.8200
0.7164,71.6400
0.7215,71.4600
0.7266,71.2800
0.7316,71.1000
0.7367,70.7400
0.7418,70.5600
0.7469,70.3800
0.7519,70.2000
0.7570,70.0200
0.7621,69.8400
0.7672,69.6600
0.7722,69.3000
0.7773,69.1200
0.7824,68.9400
0.7875,68.7600
0.7925,68.5800
0.7976,68.4000
0.8027,68.0400
0.8078,67.8600
0.8128,67.6800
0.8179,67.5000
0.8230,67.1400
0.8281,66.9600
0.8332,66.7800
0.8383,66.6000
0.8434,66.4200
0.8484,66.0600
0.8535,65.8800
0.8586,65.7000
0.8637,65.3400
0.8688,65.1600
0.8739,64.9800
0.8789,64.6200
0.8840,64.4400
0.8891,64.2600
0.8942,63.9000
0.8993,63.7200
0.9043,63.5400
0.9095,63.3600
0.9145,63.0000
0.9196,62.8200
0.9247,62.4600
0.9298,62.2800
0.9348,62.1000
0.9399,61.7400
0.9450,61.5600
0.9501,61.3800
0.9552,61.0200
0.9602,60.8400
0.9653,60.4800
0.9704,60.3000
0.9755,59.9400
0.9805,59.7600
0.9856,59.5800
0.9907,59.2200
0.9958,59.0400
1.0009,58.6800
1.0059,58.5000
1.0110,58.1400
1.0161,57.9600
1.0212,57.7800
1.0263,57.4200
1.0314,57.0600
1.0364,56.8800
1.0415,56.5200
1.0466,56.3400
1.0517,55.9800
1.0568,55.8000
1.0618,55.4400
1.0669,55.2600
1.0720,54.9000
1.0771,54.7200
1.0821,54.3600
1.0872,54.1800
1.0923,53.8200
1.0974,53.4600
1.1025,53.2800
1.1076,52.9200
1.1126,52.7400
1.1177,52.3800
1.1228,52.2000
1.1279,51.8400
1.1330,51.6600
1.1380,51.3000
1.1431,50.9400
1.1482,50.7600
1.1533,50.4000
1.1583,50.0400
1.1634,49.8600
1.1685,49.5000
1.1736,49.1400
1.1786,48.9600
1.1837,48.6000
1.1888,48.2400
1.1939,48.0600
1.1989,47.7000
1.2040,47.3400
1.2091,47.1600
1.2141,46.8000
1.2192,46.4400
1.2243,46.2600
1.2294,45.9000
1.2345,45.5400
1.2396,45.1800
1.2446,45.0000
1.2497,44.6400
1.2548,44.2800
1.2599,43.9200
1.2650,43.7400
1.2701,43.3800
1.2751,43.0200
1.2802,42.6600
1.2853,42.3000
1.2904,42.1200
1.2954,41.7600
1.3005,41.4000
1.3057,41.2200
1.3108,40.8600
1.3159,40.5000
1.3209,40.1400
1.3260,39.7800
1.3311,39.4200
1.3362,39.0600
1.3413,38.8800
1.3464,38.5200
1.3514,38.1600
1.3565,37.8000
1.3616,37.4400
1.3667,37.0800
1.3717,36.7200
1.3768,36.3600
1.3819,36.1800
1.3870,35.8200
1.3921,35.4600
1.3971,35.1000
1.4022,34.7400
1.4073,34.3800
1.4124,34.0200
1.4175,33.6600
1.4225,33.3000
1.4276,32.9400
1.4327,32.5800
1.4378,32.4000
1.4429,32.0400
1.4480,31.6800
1.4530,31.3200
1.4581,30.9600
1.4632,30.6000
1.4683,30.2400
1.4734,29.8800
1.4784,29.5200
1.4835,29.1600
1.4886,28.8000
1.4937,28.4400
1.4987,28.0800
1.5038,27.7200
1.5089,27.3600
1.5140,27.0000
1.5191,26.6400
1.5242,26.1000
1.5292,25.9200
1.5343,25.5600
1.5394,25.2000
1.5445,24.8400
1.5495,24.3000
1.5546,23.9400
1.5597,23.5800
1.5648,23.2200
1.5698,22.8600
1.5749,22.5000
1.5800,22.1400
1.5850,21.7800
1.5901,21.4200
1.5952,20.8800
1.6003,20.5200
1.6053,20.1600
1.6104,19.8000
1.6155,19.4400
1.6205,19.0800
1.6256,18.5400
1.6307,18.1800
1.6358,17.8200
1.6409,17.4600
1.6459,17.1000
1.6510,16.7400
1.6561,16.3800
1.6612,15.8400
1.6663,15.4800
1.6714,15.1200
1.6765,14.7600
1.6815,14.2200
1.6866,13.8600
1.6917,13.5000
1.6968,13.1400
