t_s,iteration,psi_enc_deg,psi_dot_enc_dps,phi_yaw_deg,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1480
0.0114,2,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1460
0.0165,3,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1440
0.0220,4,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1420
0.0271,5,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1400
0.0322,6,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1380
0.0373,7,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1360
0.0424,8,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1340
0.0490,9,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1320
0.0543,10,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1300
0.0594,11,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1280
0.0691,12,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1260
0.0742,13,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1240
0.0793,14,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1220
0.0847,15,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.0898,16,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.0949,17,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1003,18,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1054,19,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1105,20,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1156,21,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1207,22,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1258,23,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1309,24,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1360,25,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1412,26,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1465,27,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1608,28,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1659,29,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1731,30,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1782,31,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1835,32,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1887,33,-0.0000,0.0000,0.2908,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.1938,34,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2045,35,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2102,36,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
0.2154,37,-0.0000,0.0000,0.2347,90.00,84.79,174.79,90.0000,0.0000,0.700000,0.800000,0.001500,-0.000000,0.022713,1212
