t_s,iteration,sensor_mode,new_data,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,enc,1,-0.0000,0.0000,-0.0000,0.0023,-0.2843,20.00,82.14,20.0000,0.1000,0.471405,0.177778,0.000333,-0.000000,0.293294,1480
0.0097,2,enc,0,-0.0000,0.0000,-0.0000,0.0023,-0.2843,20.00,82.14,20.0000,0.2000,0.471738,0.177778,0.000667,-0.000000,0.293294,1460
0.0148,3,enc,0,-0.0000,0.0000,-0.0000,0.0023,-0.2843,20.00,82.14,20.0000,0.3000,0.472072,0.177778,0.001000,-0.000000,0.293294,1440
0.0208,4,enc,0,-0.0000,0.0000,-0.0000,0.0023,-0.2843,20.00,82.14,20.0000,0.4000,0.472405,0.177778,0.001333,-0.000000,0.293294,1420
0.0258,5,enc,0,-0.0000,0.0000,-0.0000,0.0023,-0.2843,20.00,82.14,20.0000,0.5000,0.472738,0.177778,0.001667,-0.000000,0.293294,1400
0.0309,6,enc,0,-0.0000,0.0000,-0.0000,0.0023,-0.2843,20.00,82.14,20.0000,0.6000,0.473072,0.177778,0.002000,-0.000000,0.293294,1380
0.0360,7,enc,0,-0.0000,0.0000,-0.0000,0.0023,-0.2843,20.00,82.14,20.0000,0.7000,0.473405,0.177778,0.002333,-0.000000,0.293294,1360
0.0411,8,enc,0,-0.0000,0.0000,-0.0000,0.0023,-0.2843,20.00,82.14,20.0000,0.8000,0.473738,0.177778,0.002667,-0.000000,0.293294,1340
0.0462,9,enc,0,-0.0000,0.0000,-0.0000,0.0023,-0.2843,20.00,82.14,20.0000,0.9000,0.474072,0.177778,0.003000,-0.000000,0.293294,1320
0.0513,10,enc,1,-0.0000,0.0000,-0.0000,-0.0307,-0.2907,20.00,82.14,20.0000,1.0000,0.474405,0.177778,0.003333,-0.000000,0.293294,1300
0.0564,11,enc,1,-0.0000,0.0000,-0.0000,-0.0416,-0.2714,20.00,82.14,20.0000,1.1000,0.474738,0.177778,0.003667,-0.000000,0.293294,1296
0.0615,12,enc,0,-0.0000,0.0000,-0.0000,-0.0416,-0.2714,20.00,82.14,20.0000,1.2000,0.475072,0.177778,0.004000,-0.000000,0.293294,1296
0.0666,13,enc,0,-0.0000,0.0000,-0.0000,-0.0416,-0.2714,20.00,82.14,20.0000,1.3000,0.475405,0.177778,0.004333,-0.000000,0.293294,1296
0.0717,14,enc,0,-0.0000,0.0000,-0.0000,-0.0416,-0.2714,20.00,82.14,20.0000,1.4000,0.475738,0.177778,0.004667,-0.000000,0.293294,1296
0.0768,15,enc,1,-0.0000,0.0000,-0.0000,-0.0307,-0.2907,20.00,82.14,20.0000,1.5000,0.476072,0.177778,0.005000,-0.000000,0.293294,1296
0.0818,16,enc,0,-0.0000,0.0000,-0.0000,-0.0307,-0.2907,20.00,82.14,20.0000,1.6000,0.476405,0.177778,0.005333,-0.000000,0.293294,1296
0.0869,17,enc,1,-0.0000,0.0000,-0.0000,0.0061,-0.2415,20.00,82.14,20.0000,1.7000,0.476738,0.177778,0.005667,-0.000000,0.293294,1296
