t_s,iteration,sensor_mode,new_data,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us,imu_roll_raw_deg,imu_pitch_raw_deg,imu_yaw_raw_deg,imu_axis
0.0000,1,enc,0,-0.0000,0.0000,-0.0000,-0.0345,-0.0656,20.00,82.00,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.831425,1498,-155.7136,-82.203,155.8771,pitch
0.0096,2,enc,0,-0.0000,0.0000,-0.0000,-0.0345,-0.0656,20.00,82.00,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.831425,1496,-155.7136,-82.203,155.8771,pitch
0.0147,3,enc,0,-0.0000,0.0000,-0.0000,-0.0345,-0.0656,20.00,82.00,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.831425,1494,-155.7136,-82.203,155.8771,pitch
0.0198,4,enc,0,-0.0000,0.0000,-0.0000,-0.0345,-0.0656,20.00,82.00,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.831425,1492,-155.7136,-82.203,155.8771,pitch
0.0249,5,enc,0,-0.0000,0.0000,-0.0000,-0.0345,-0.0656,20.00,82.00,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.831425,1490,-155.7136,-82.203,155.8771,pitch
0.0300,6,enc,0,-0.0000,0.0000,-0.0000,-0.0345,-0.0656,20.00,82.00,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.831425,1488,-155.7136,-82.203,155.8771,pitch
0.0351,7,enc,0,-0.0000,0.0000,-0.0000,-0.0345,-0.0656,20.00,82.00,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.831425,1486,-155.7136,-82.203,155.8771,pitch
0.0402,8,enc,0,-0.0000,0.0000,-0.0000,-0.0345,-0.0656,20.00,82.00,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.831425,1484,-155.7136,-82.203,155.8771,pitch
0.0453,9,enc,0,-0.0000,0.0000,-0.0000,-0.0345,-0.0656,20.00,82.00,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.831425,1482,-155.7136,-82.203,155.8771,pitch
0.0504,10,enc,0,-0.0000,0.0000,-0.0000,-0.0345,-0.0656,20.00,82.00,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.831425,1480,-155.7136,-82.203,155.8771,pitch
0.0555,11,enc,0,-0.0000,0.0000,-0.0000,-0.0345,-0.0656,20.00,82.00,20.0000,0.0000,1.000000,0.177778,0.000000,-0.000000,0.831425,1478,-155.7136,-82.203,155.8771,pitch
