t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,kp_eff,u_norm,u_p,u_i,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0213,-0.0000,0.0003,-0.0000,6.00,88.18,94.18,6.0213,0.1204,3.2937,0.469897,0.220360,0.000201,0.000000,0.249336,1475,1.845
0.0201,2,-0.0213,-0.0000,0.0003,-0.0000,6.00,88.18,94.18,6.0213,0.2409,3.2937,0.470097,0.220360,0.000401,0.000000,0.249336,1450,1.845
0.0402,3,-0.0213,-0.0000,0.0003,-0.0000,6.00,88.18,94.18,6.0213,0.3613,3.2937,0.470298,0.220360,0.000602,0.000000,0.249336,1425,1.845
0.0602,4,-0.0213,-0.0000,0.0003,-0.0000,6.00,88.18,94.18,6.0213,0.4817,3.2937,0.470499,0.220360,0.000803,0.000000,0.249336,1400,1.845
0.0803,5,-0.0213,-0.0000,0.0003,-0.0000,6.00,88.18,94.18,6.0213,0.6021,3.2937,0.470699,0.220360,0.001004,0.000000,0.249336,1375,1.845
0.1004,6,-0.0213,-0.0000,0.0003,-0.0000,6.00,88.18,94.18,6.0213,0.7226,3.2937,0.470900,0.220360,0.001204,0.000000,0.249336,1350,1.845
0.1205,7,-0.0213,-0.0000,0.0003,-0.0000,6.00,88.18,94.18,6.0213,0.8430,3.2937,0.471101,0.220360,0.001405,0.000000,0.249336,1325,1.845
0.1405,8,-0.0266,-0.0000,0.0003,-0.0000,6.00,88.18,94.18,6.0266,0.9635,3.2941,0.471522,0.220580,0.001606,0.000000,0.249336,1300,1.8502
0.1606,9,-0.0266,-0.0000,0.0003,-0.0000,6.00,88.18,94.18,6.0266,1.0841,3.2941,0.471723,0.220580,0.001807,0.000000,0.249336,1298,1.8502
0.1807,10,-0.0266,-0.0000,0.0003,-0.0000,6.00,88.18,94.18,6.0266,1.2046,3.2941,0.471924,0.220580,0.002008,0.000000,0.249336,1298,1.8502
0.2008,11,-0.0266,-0.0000,0.0003,-0.0000,6.00,88.18,94.18,6.0266,1.3251,3.2941,0.472125,0.220580,0.002209,0.000000,0.249336,1297,1.8502
0.2215,12,-0.0266,-0.0000,0.0003,-0.0000,6.00,88.18,94.18,6.0266,1.4456,3.2941,0.472326,0.220580,0.002409,0.000000,0.249336,1297,1.8502
0.2416,13,-0.0266,-0.0000,0.0003,-0.0000,6.00,88.18,94.18,6.0266,1.5662,3.2941,0.472526,0.220580,0.002610,0.000000,0.249336,1297,1.8502
0.2617,14,-0.0266,-0.0000,0.0003,-0.0000,6.00,88.18,94.18,6.0266,1.6867,3.2941,0.472727,0.220580,0.002811,0.000000,0.249336,1297,1.8502
0.2818,15,-0.0266,-0.0000,0.0003,-0.0000,6.00,88.18,94.18,6.0266,1.8072,3.2941,0.472928,0.220580,0.003012,0.000000,0.249336,1297,1.8502
0.3018,16,-0.0167,0.1800,0.0004,1.2310,6.00,88.18,94.18,6.0167,1.9276,3.2933,0.468614,0.220169,0.003213,-0.004103,0.249336,1299,1.8404
