t_s,iteration,sensor_mode,new_data,quat_changed,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,imu,1,1,0.0428,-0.0000,-0.0000,0.0428,0.1583,90.00,82.96,89.9572,0.0040,0.799633,0.799619,0.000013,0.000000,0.000000,1498
0.0117,2,imu,1,0,0.0428,-0.0000,-0.0000,0.0428,0.1583,90.00,82.96,89.9572,1.0501,0.803119,0.799619,0.003500,0.000000,0.000000,1496
0.0168,3,imu,1,1,0.0002,-0.0000,-0.0000,0.0002,0.1587,90.00,82.96,89.9998,1.5078,0.805024,0.799998,0.005026,0.000000,0.000000,1494
0.0228,4,imu,1,0,0.0002,-0.0000,-0.0000,0.0002,0.1587,90.00,82.96,89.9998,2.0477,0.806824,0.799998,0.006826,0.000000,0.000000,1492
0.0278,5,imu,1,0,0.0002,-0.0000,-0.0000,0.0002,0.1587,90.00,82.96,89.9998,2.5051,0.808348,0.799998,0.008350,0.000000,0.000000,1490
0.0329,6,imu,1,1,0.0379,-0.0000,-0.0000,0.0379,0.1703,90.00,82.96,89.9621,2.9623,0.809537,0.799663,0.009874,0.000000,0.000000,1488
0.0380,7,imu,1,0,0.0379,-0.0000,-0.0000,0.0379,0.1703,90.00,82.96,89.9621,3.4199,0.811062,0.799663,0.011400,0.000000,0.000000,1486
0.0431,8,imu,1,0,0.0379,-0.0000,-0.0000,0.0379,0.1703,90.00,82.96,89.9621,3.8767,0.812585,0.799663,0.012922,0.000000,0.000000,1484
0.0482,9,imu,1,0,0.0379,-0.0000,-0.0000,0.0379,0.1703,90.00,82.96,89.9621,4.3339,0.814109,0.799663,0.014446,0.000000,0.000000,1482
0.0532,10,imu,1,0,0.0379,-0.0000,-0.0000,0.0379,0.1703,90.00,82.96,89.9621,4.7908,0.815632,0.799663,0.015969,0.000000,0.000000,1480
0.0583,11,imu,1,0,0.0379,-0.0000,-0.0000,0.0379,0.1703,90.00,82.96,89.9621,5.2480,0.817156,0.799663,0.017493,0.000000,0.000000,1478
0.0634,12,imu,1,1,-0.0047,-0.0000,-0.0000,-0.0047,0.1707,90.00,82.96,90.0047,5.7069,0.819065,0.800042,0.019023,0.000000,0.000000,1476
0.0685,13,imu,1,0,-0.0047,-0.0000,-0.0000,-0.0047,0.1707,90.00,82.96,90.0047,6.1640,0.820588,0.800042,0.020547,0.000000,0.000000,1474
0.0736,14,imu,1,0,-0.0047,-0.0000,-0.0000,-0.0047,0.1707,90.00,82.96,90.0047,6.6214,0.822113,0.800042,0.022071,0.000000,0.000000,1472
0.0815,15,imu,1,0,-0.0047,-0.0000,-0.0000,-0.0047,0.1707,90.00,82.96,90.0047,7.3358,0.824494,0.800042,0.024453,0.000000,0.000000,1470
0.0866,16,imu,1,0,-0.0047,-0.0000,-0.0000,-0.0047,0.1707,90.00,82.96,90.0047,7.7931,0.826019,0.800042,0.025977,0.000000,0.000000,1468
