t_s,iteration,sensor_mode,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,imu,-0.0890,0.0000,-0.0000,-0.089,0.3345,90.00,85.02,90.0890,0.0000,0.550000,0.800791,0.001501,-0.000000,0.000000,1480
0.0054,2,imu,-0.0890,0.0000,-0.0000,-0.089,0.3345,90.00,85.02,90.0890,0.0000,0.550000,0.800791,0.001501,-0.000000,0.000000,1460
0.0105,3,imu,-0.0890,0.0000,-0.0000,-0.089,0.3345,90.00,85.02,90.0890,0.0000,0.550000,0.800791,0.001501,-0.000000,0.000000,1440
0.0155,4,imu,-0.0890,0.0000,-0.0000,-0.089,0.3345,90.00,85.02,90.0890,0.0000,0.550000,0.800791,0.001501,-0.000000,0.000000,1420
0.0206,5,imu,-0.0890,0.0000,-0.0000,-0.089,0.3345,90.00,85.02,90.0890,0.0000,0.550000,0.800791,0.001501,-0.000000,0.000000,1400
0.0257,6,imu,-0.0890,0.0000,-0.0000,-0.089,0.3345,90.00,85.02,90.0890,0.0000,0.550000,0.800791,0.001501,-0.000000,0.000000,1380
0.0307,7,imu,-0.0890,0.0000,-0.0000,-0.089,0.3345,90.00,85.02,90.0890,0.0000,0.550000,0.800791,0.001501,-0.000000,0.000000,1360
0.0358,8,imu,-0.0890,0.0000,-0.0000,-0.089,0.3345,90.00,85.02,90.0890,0.0000,0.550000,0.800791,0.001501,-0.000000,0.000000,1340
0.0409,9,imu,-0.0890,0.0000,-0.0000,-0.089,0.3345,90.00,85.02,90.0890,0.0000,0.550000,0.800791,0.001501,-0.000000,0.000000,1320
0.0459,10,imu,-0.0890,0.0000,-0.0000,-0.089,0.3345,90.00,85.02,90.0890,0.0000,0.550000,0.800791,0.001501,-0.000000,0.000000,1300
0.0510,11,imu,-0.0890,0.0000,-0.0000,-0.089,0.3345,90.00,85.02,90.0890,0.0000,0.550000,0.800791,0.001501,-0.000000,0.000000,1280
0.0561,12,imu,-0.0890,0.0000,-0.0000,-0.089,0.3345,90.00,85.02,90.0890,0.0000,0.550000,0.800791,0.001501,-0.000000,0.000000,1268
0.0612,13,imu,-0.0890,0.0000,-0.0000,-0.089,0.3345,90.00,85.02,90.0890,0.0000,0.550000,0.800791,0.001501,-0.000000,0.000000,1268
0.0662,14,imu,-0.0890,0.0000,-0.0000,-0.089,0.3345,90.00,85.02,90.0890,0.0000,0.550000,0.800791,0.001501,-0.000000,0.000000,1268
0.0713,15,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.0764,16,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.0815,17,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.0865,18,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.0916,19,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.0967,20,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.1017,21,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.1068,22,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.1119,23,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.1169,24,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.1220,25,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.1271,26,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.1321,27,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.1372,28,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.1423,29,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.1473,30,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.1524,31,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.1575,32,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.1625,33,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.1676,34,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
0.1731,35,imu,-0.0363,0.0000,-0.0000,-0.0363,0.401,90.00,85.02,90.0363,0.0000,0.550000,0.800323,0.001501,-0.000000,0.000000,1268
