t_s,iteration,sensor_mode,new_data,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.0000,1,imu,1,0.0589,0.2238,-0.0000,0.0589,0.0869,20.00,77.09,19.9411,0.0000,1.000000,0.177254,0.000000,-0.001741,0.843492,1498
0.0584,11,imu,1,0.0951,-0.1119,-0.0000,0.0951,0.102,20.00,77.09,19.9049,0.0000,1.000000,0.176933,0.000000,0.000870,0.843492,1496
0.0813,15,imu,1,0.0858,0.1119,-0.0000,0.0858,0.1066,20.00,77.09,19.9142,0.0000,1.000000,0.177016,0.000000,-0.000870,0.843492,1494
0.1016,19,imu,1,0.0679,0.3357,-0.0000,0.0679,0.0424,20.00,77.09,19.9321,0.0000,1.000000,0.177174,0.000000,-0.002611,0.843492,1492
0.1274,24,imu,1,0.0586,0.1119,-0.0000,0.0586,0.047,20.00,77.09,19.9414,0.0000,1.000000,0.177257,0.000000,-0.000870,0.843492,1490
0.1480,28,imu,1,0.0779,-0.0000,-0.0000,0.0779,0.0492,20.00,77.09,19.9221,0.0000,1.000000,0.177085,0.000000,0.000000,0.843492,1488
0.1612,30,imu,1,0.0686,0.1119,-0.0000,0.0686,0.0538,20.00,77.09,19.9314,0.0000,1.000000,0.177168,0.000000,-0.000870,0.843492,1486
0.1866,35,imu,1,0.0686,0.1119,-0.0000,0.0686,0.0538,20.00,77.09,19.9314,0.0000,1.000000,0.177168,0.000000,-0.000870,0.843492,1484
0.1967,37,imu,1,0.0906,0.3357,-0.0000,0.0906,0.0901,20.00,77.09,19.9094,0.0000,1.000000,0.176973,0.000000,-0.002611,0.843492,1482
0.2121,40,imu,1,0.0686,-0.1119,-0.0000,0.0686,0.0538,20.00,77.09,19.9314,0.0000,1.000000,0.177168,0.000000,0.000870,0.843492,1480
0.2273,43,imu,1,0.0813,0.2238,-0.0000,0.0813,0.0947,20.00,77.09,19.9187,0.0000,1.000000,0.177055,0.000000,-0.001741,0.843492,1478
0.2326,44,imu,1,0.0620,0.1119,-0.0000,0.062,0.0924,20.00,77.09,19.9380,0.0000,1.000000,0.177227,0.000000,-0.000870,0.843492,1476
0.2721,51,imu,1,0.0840,-0.0000,-0.0000,0.084,0.1287,20.00,77.09,19.9160,0.0000,1.000000,0.177031,0.000000,0.000000,0.843492,1474
0.2876,54,imu,1,0.0933,0.2238,-0.0000,0.0933,0.1241,20.00,77.09,19.9067,0.0000,1.000000,0.176949,0.000000,-0.001741,0.843492,1472
0.3164,59,imu,1,0.0689,0.3357,-0.0000,0.0689,0.0985,20.00,77.09,19.9311,0.0000,1.000000,0.177166,0.000000,-0.002611,0.843492,1470
0.3266,61,imu,1,0.0857,0.1119,-0.0000,0.0857,0.1114,20.00,77.09,19.9143,0.0000,1.000000,0.177016,0.000000,-0.000870,0.843492,1468
0.3368,63,imu,1,0.0950,0.3357,-0.0000,0.095,0.1068,20.00,77.09,19.9050,0.0000,1.000000,0.176933,0.000000,-0.002611,0.843492,1466
0.3963,74,imu,1,0.0899,0.2238,-0.0000,0.0899,0.0835,20.00,77.09,19.9101,0.0000,1.000000,0.176979,0.000000,-0.001741,0.843492,1464
0.4217,79,imu,1,0.0899,0.1119,-0.0000,0.0899,0.0835,20.00,77.09,19.9101,0.0000,1.000000,0.176979,0.000000,-0.000870,0.843492,1462
0.4319,81,imu,1,0.1026,0.1119,-0.0000,0.1026,0.1242,20.00,77.09,19.8974,0.0000,1.000000,0.176866,0.000000,-0.000870,0.843492,1460
0.4425,83,imu,1,0.0806,0.1119,-0.0000,0.0806,0.0881,20.00,77.09,19.9194,0.0000,1.000000,0.177061,0.000000,-0.000870,0.843492,1458
0.4526,85,imu,1,0.0998,-0.0000,-0.0000,0.0998,0.0903,20.00,77.09,19.9002,0.0000,1.000000,0.176890,0.000000,0.000000,0.843492,1456
0.4857,91,imu,1,0.0779,-0.0000,-0.0000,0.0779,0.0541,20.00,77.09,19.9221,0.0000,1.000000,0.177086,0.000000,0.000000,0.843492,1454
0.4962,93,imu,1,0.0971,-0.0000,-0.0000,0.0971,0.0563,20.00,77.09,19.9029,0.0000,1.000000,0.176914,0.000000,0.000000,0.843492,1452
0.5168,97,imu,1,0.0751,-0.0000,-0.0000,0.0751,0.0201,20.00,77.09,19.9249,0.0000,1.000000,0.177110,0.000000,0.000000,0.843492,1450
0.5320,100,imu,1,0.0658,-0.0000,-0.0000,0.0658,0.0246,20.00,77.09,19.9342,0.0000,1.000000,0.177193,0.000000,0.000000,0.843492,1448
0.5422,102,imu,1,0.0710,-0.0000,-0.0000,0.071,0.048,20.00,77.09,19.9290,0.0000,1.000000,0.177147,0.000000,0.000000,0.843492,1446
0.5553,104,imu,1,0.0903,-0.0000,-0.0000,0.0903,0.0502,20.00,77.09,19.9097,0.0000,1.000000,0.176976,0.000000,0.000000,0.843492,1444
0.5900,110,imu,1,0.0589,-0.0000,-0.0000,0.0589,0.0185,20.00,77.09,19.9411,0.0000,1.000000,0.177254,0.000000,0.000000,0.843492,1442
0.6061,113,imu,1,0.0641,-0.0000,-0.0000,0.0641,0.0419,20.00,77.09,19.9359,0.0000,1.000000,0.177208,0.000000,0.000000,0.843492,1440
0.6296,117,imu,1,0.0420,-0.0000,-0.0000,0.042,0.0056,20.00,77.09,19.9580,0.0000,1.000000,0.177404,0.000000,0.000000,0.843492,1438
0.7018,130,imu,1,0.0587,-0.0000,-0.0000,0.0587,-0.0263,20.00,77.09,19.9413,0.0000,1.000000,0.177256,0.000000,0.000000,0.843492,1436
0.7323,136,imu,1,0.0366,-0.0000,-0.0000,0.0366,-0.0627,20.00,77.09,19.9634,0.0000,1.000000,0.177452,0.000000,0.000000,0.843492,1434
0.7499,139,imu,1,0.0560,-0.5595,-0.0000,0.056,-0.0605,20.00,77.09,19.9440,0.0000,1.000000,0.177280,0.000000,0.004352,0.843492,1432
0.7608,141,imu,1,0.0391,-0.4476,-0.0000,0.0391,-0.0735,20.00,77.09,19.9609,0.0000,1.000000,0.177430,0.000000,0.003482,0.843492,1430
0.7666,142,imu,1,0.0297,-0.1119,-0.0000,0.0297,-0.069,20.00,77.09,19.9703,0.0000,1.000000,0.177513,0.000000,0.000870,0.843492,1428
0.7716,143,imu,1,0.0246,-0.0000,-0.0000,0.0246,-0.0923,20.00,77.09,19.9754,0.0000,1.000000,0.177559,0.000000,0.000000,0.843492,1426
0.7773,144,imu,1,0.0439,-0.4476,-0.0000,0.0439,-0.0901,20.00,77.09,19.9561,0.0000,1.000000,0.177387,0.000000,0.003482,0.843492,1424
0.7875,146,imu,1,0.0219,-0.5595,-0.0000,0.0219,-0.1265,20.00,77.09,19.9781,0.0000,1.000000,0.177584,0.000000,0.004352,0.843492,1422
0.7925,147,imu,1,0.0412,-0.2238,-0.0000,0.0412,-0.1243,20.00,77.09,19.9588,0.0000,1.000000,0.177411,0.000000,0.001741,0.843492,1420
0.8055,149,imu,1,0.0285,-0.1119,-0.0000,0.0285,-0.1653,20.00,77.09,19.9715,0.0000,1.000000,0.177524,0.000000,0.000870,0.843492,1418
0.8157,151,imu,1,0.0430,0.1119,-0.0000,0.043,-0.1465,20.00,77.09,19.9570,0.0000,1.000000,0.177395,0.000000,-0.000870,0.843492,1416
0.8315,154,imu,1,0.0209,-0.1119,-0.0000,0.0209,-0.183,20.00,77.09,19.9791,0.0000,1.000000,0.177592,0.000000,0.000870,0.843492,1414
