t_s,iteration,psi_imu_deg,psi_enc_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0457,-0.0000,-0.1119,30.00,30.0457,0.488533,0.033384,0.000149,0.455000,1291,88.6730
0.0201,2,-0.0457,-0.0000,-0.1119,30.00,30.0457,0.488533,0.033384,0.000149,0.455000,1291,88.6730
0.0402,3,-0.0406,-0.0000,-0.1119,30.00,30.0406,0.488528,0.033378,0.000149,0.455000,1291,88.6680
0.0603,4,-0.0406,-0.0000,-0.1119,30.00,30.0406,0.488528,0.033378,0.000149,0.455000,1291,88.6680
0.0804,5,-0.0406,-0.0000,-0.1119,30.00,30.0406,0.488528,0.033378,0.000149,0.455000,1291,88.6680
0.1005,6,-0.0406,-0.0000,-0.0000,30.00,30.0406,0.488378,0.033378,0.000000,0.455000,1291,88.6680
0.1206,7,-0.0406,-0.0000,-0.0000,30.00,30.0406,0.488378,0.033378,0.000000,0.455000,1291,88.6680
0.1407,8,-0.0406,-0.0000,0.1119,30.00,30.0406,0.488229,0.033378,-0.000149,0.455000,1291,88.6680
0.1608,9,-0.0406,-0.0000,0.1119,30.00,30.0406,0.488229,0.033378,-0.000149,0.455000,1291,88.6680
0.1809,10,-0.0406,-0.0000,0.1119,30.00,30.0406,0.488229,0.033378,-0.000149,0.455000,1291,88.6680
0.2011,11,0.1596,-0.0000,-0.2238,30.00,29.8404,0.488454,0.033156,0.000298,0.455000,1291,88.4677
0.2211,12,0.1596,-0.0000,-0.2238,30.00,29.8404,0.488454,0.033156,0.000298,0.455000,1291,88.4677
0.2412,13,-0.0507,-0.0000,2.0143,30.00,30.0507,0.485704,0.033390,-0.002686,0.455000,1292,88.6781
0.2613,14,-0.0507,-0.0000,2.0143,30.00,30.0507,0.485704,0.033390,-0.002686,0.455000,1292,88.6781
0.2814,15,-0.0507,0.1800,2.0143,30.00,30.0507,0.485704,0.033390,-0.002686,0.455000,1292,88.6781
0.3015,16,-0.1052,0.3600,5.4834,30.00,30.1052,0.481139,0.033450,-0.007311,0.455000,1294,88.7326
0.3216,17,-0.1052,0.5400,5.4834,30.00,30.1052,0.481139,0.033450,-0.007311,0.455000,1294,88.7326
0.3417,18,-0.6397,1.0800,22.6050,30.00,30.6397,0.458904,0.034044,-0.030140,0.455000,1302,89.2670
0.3619,19,-0.6397,1.6200,22.6050,30.00,30.6397,0.458904,0.034044,-0.030140,0.455000,1302,89.2670
0.3819,20,-0.6397,2.5200,22.6050,30.00,30.6397,0.458904,0.034044,-0.030140,0.455000,1302,89.2365
0.4021,21,-0.6092,3.7800,50.8052,30.00,30.6092,0.421270,0.034010,-0.067740,0.455000,1317,89.2365
0.4221,22,-0.6092,4.8600,50.8052,30.00,30.6092,0.421270,0.034010,-0.067740,0.455000,1317,89.2365
0.4422,23,2.3725,7.0200,78.3341,30.00,27.6275,0.381252,0.030697,-0.104445,0.455000,1332,86.2549
0.4623,24,2.3725,8.2800,78.3341,30.00,27.6275,0.381252,0.030697,-0.104445,0.455000,1332,86.2549
0.4824,25,2.3725,10.4400,78.3341,30.00,27.6275,0.381252,0.030697,-0.104445,0.455000,1332,82.0425
0.5025,26,6.5849,12.6000,99.9319,30.00,23.4151,0.347774,0.026017,-0.133243,0.455000,1344,82.0425
0.5226,27,6.5849,14.5800,99.9319,30.00,23.4151,0.347774,0.026017,-0.133243,0.455000,1344,82.0425
0.5427,28,11.9080,17.6400,112.9130,30.00,18.0920,0.324552,0.020102,-0.150551,0.455000,1353,76.7194
