t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0479,-0.0000,-0.0002,-0.0000,6.00,87.07,93.07,6.0479,0.316840,0.067198,0.000000,0.249642,1356,2.9795
0.0201,2,-0.0479,-0.0000,-0.0002,-0.0000,6.00,87.07,93.07,6.0479,0.316840,0.067198,0.000000,0.249642,1356,2.9795
0.0402,3,-0.0479,-0.0000,-0.0002,-0.0000,6.00,87.07,93.07,6.0479,0.316840,0.067198,0.000000,0.249642,1356,2.9795
0.0603,4,-0.0479,-0.0000,-0.0002,-0.0000,6.00,87.07,93.07,6.0479,0.316840,0.067198,0.000000,0.249642,1356,2.9795
0.0803,5,-0.0479,-0.0000,-0.0002,-0.0000,6.00,87.07,93.07,6.0479,0.316840,0.067198,0.000000,0.249642,1356,2.9795
0.1004,6,-0.0479,-0.0000,-0.0002,-0.0000,6.00,87.07,93.07,6.0479,0.316840,0.067198,0.000000,0.249642,1356,2.9795
0.1205,7,-0.0479,-0.0000,-0.0002,-0.0000,6.00,87.07,93.07,6.0479,0.316840,0.067198,0.000000,0.249642,1356,2.9795
0.1405,8,-0.0479,-0.0000,-0.0002,-0.0000,6.00,87.07,93.07,6.0479,0.316840,0.067198,0.000000,0.249642,1356,2.9795
0.1606,9,-0.0479,-0.0000,-0.0002,-0.0000,6.00,87.07,93.07,6.0479,0.316840,0.067198,0.000000,0.249642,1356,2.9795
0.1807,10,-0.0479,-0.0000,-0.0002,-0.0000,6.00,87.07,93.07,6.0479,0.316840,0.067198,0.000000,0.249642,1356,2.9795
0.2008,11,-0.0479,-0.0000,-0.0002,-0.0000,6.00,87.07,93.07,6.0479,0.316840,0.067198,0.000000,0.249642,1356,2.9795
0.2208,12,-0.0479,-0.0000,-0.0002,-0.0000,6.00,87.07,93.07,6.0479,0.316840,0.067198,0.000000,0.249642,1356,2.9795
0.2409,13,-0.0479,-0.0000,-0.0002,-0.0000,6.00,87.07,93.07,6.0479,0.316840,0.067198,0.000000,0.249642,1356,2.9795
0.2610,14,-0.0431,-0.0000,-0.0,0.7833,6.00,87.07,93.07,6.0431,0.303731,0.067145,-0.013056,0.249642,1361,2.9747
0.2811,15,-0.0431,-0.0000,-0.0,0.7833,6.00,87.07,93.07,6.0431,0.303731,0.067145,-0.013056,0.249642,1361,2.9747
0.3011,16,0.0115,-0.0000,0.001,2.4619,6.00,87.07,93.07,5.9885,0.275148,0.066539,-0.041032,0.249642,1371,2.9201
