t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0583,-0.0000,0.0061,-0.0000,6.00,74.23,80.23,5.9417,0.1188,0.312592,0.066019,0.000198,0.000000,0.246376,1450,15.7098
0.0201,2,0.0626,-0.0000,0.0047,-0.0000,6.00,74.23,80.23,5.9374,0.2376,0.312743,0.065971,0.000396,0.000000,0.246376,1400,15.7055
0.0402,3,0.0626,-0.0000,0.0047,-0.0000,6.00,74.23,80.23,5.9374,0.3563,0.312941,0.065971,0.000594,0.000000,0.246376,1357,15.7055
0.0602,4,0.0626,-0.0000,0.0047,-0.0000,6.00,74.23,80.23,5.9374,0.4751,0.313139,0.065971,0.000792,0.000000,0.246376,1357,15.7055
0.0803,5,0.0626,-0.0000,0.0047,-0.0000,6.00,74.23,80.23,5.9374,0.5938,0.313337,0.065971,0.000990,0.000000,0.246376,1357,15.7055
0.1004,6,0.0626,-0.0000,0.0047,-0.0000,6.00,74.23,80.23,5.9374,0.7126,0.313535,0.065971,0.001188,0.000000,0.246376,1357,15.7055
0.1205,7,0.0626,-0.0000,0.0047,-0.0000,6.00,74.23,80.23,5.9374,0.8313,0.313733,0.065971,0.001386,0.000000,0.246376,1357,15.7055
0.1406,8,0.0626,-0.0000,0.0047,-0.0000,6.00,74.23,80.23,5.9374,0.9501,0.313931,0.065971,0.001583,0.000000,0.246376,1357,15.7055
0.1607,9,0.0626,-0.0000,0.0047,-0.0000,6.00,74.23,80.23,5.9374,1.0688,0.314128,0.065971,0.001781,0.000000,0.246376,1357,15.7055
0.1807,10,0.0626,-0.0000,0.0047,-0.0000,6.00,74.23,80.23,5.9374,1.1876,0.314326,0.065971,0.001979,0.000000,0.246376,1357,15.7055
0.2008,11,0.0626,-0.0000,0.0047,-0.0000,6.00,74.23,80.23,5.9374,1.3063,0.314524,0.065971,0.002177,0.000000,0.246376,1357,15.7055
0.2209,12,0.0626,-0.0000,0.0047,-0.0000,6.00,74.23,80.23,5.9374,1.4251,0.314722,0.065971,0.002375,0.000000,0.246376,1356,15.7055
0.2410,13,0.0626,-0.0000,0.0047,-0.0000,6.00,74.23,80.23,5.9374,1.5438,0.314920,0.065971,0.002573,0.000000,0.246376,1356,15.7055
0.2610,14,0.0626,-0.0000,0.0047,-0.0000,6.00,74.23,80.23,5.9374,1.6626,0.315118,0.065971,0.002771,0.000000,0.246376,1356,15.7055
0.2811,15,0.0979,-0.0000,-0.0021,1.4548,6.00,74.23,80.23,5.9021,1.7806,0.310073,0.065579,0.002968,-0.004849,0.246376,1358,15.6701
0.3012,16,0.0979,0.1800,-0.0021,1.4548,6.00,74.23,80.23,5.9021,1.8986,0.310269,0.065579,0.003164,-0.004849,0.246376,1358,15.6701
0.3213,17,0.2206,0.1800,-0.0132,1.4548,6.00,74.23,80.23,5.7794,2.0142,0.309099,0.064215,0.003357,-0.004849,0.246376,1359,15.5474
