t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0208,-0.0000,0.0056,-0.0000,-20.00,72.46,52.46,-20.0208,-0.333680,-0.333680,0.000000,0.000000,1650,17.5226
0.0201,2,0.0208,-0.0000,0.0056,-0.0000,-20.00,72.46,52.46,-20.0208,-0.333680,-0.333680,0.000000,0.000000,1650,17.5226
0.0402,3,0.0208,-0.0000,0.0056,-0.0000,-20.00,72.46,52.46,-20.0208,-0.333680,-0.333680,0.000000,0.000000,1650,17.5226
0.0603,4,0.0208,-0.0000,0.0056,-0.0000,-20.00,72.46,52.46,-20.0208,-0.333680,-0.333680,0.000000,0.000000,1650,17.5226
0.0804,5,0.0208,-0.0000,0.0056,-0.0000,-20.00,72.46,52.46,-20.0208,-0.333680,-0.333680,0.000000,0.000000,1650,17.5226
0.1005,6,0.0208,-0.0000,0.0056,-0.0000,-20.00,72.46,52.46,-20.0208,-0.333680,-0.333680,0.000000,0.000000,1650,17.5226
0.1206,7,0.0208,-0.0000,0.0056,-0.0000,-20.00,72.46,52.46,-20.0208,-0.333680,-0.333680,0.000000,0.000000,1650,17.5226
0.1407,8,0.0208,-0.0000,0.0056,-0.0000,-20.00,72.46,52.46,-20.0208,-0.333680,-0.333680,0.000000,0.000000,1650,17.5226
0.1608,9,0.0208,-0.0000,0.0056,-0.0000,-20.00,72.46,52.46,-20.0208,-0.333680,-0.333680,0.000000,0.000000,1650,17.5226
0.1809,10,0.0208,-0.0000,0.0056,-0.0000,-20.00,72.46,52.46,-20.0208,-0.333680,-0.333680,0.000000,0.000000,1650,17.5226
0.2010,11,0.0208,-0.0000,0.0056,-0.0000,-20.00,72.46,52.46,-20.0208,-0.333680,-0.333680,0.000000,0.000000,1650,17.5226
0.2211,12,0.0208,-0.0000,0.0056,-0.0000,-20.00,72.46,52.46,-20.0208,-0.333680,-0.333680,0.000000,0.000000,1650,17.5226
0.2412,13,0.0208,-0.0000,0.0056,-0.0000,-20.00,72.46,52.46,-20.0208,-0.333680,-0.333680,0.000000,0.000000,1650,17.5226
0.2613,14,0.0208,-0.0000,0.0056,-0.0000,-20.00,72.46,52.46,-20.0208,-0.333680,-0.333680,0.000000,0.000000,1650,17.5226
0.2814,15,0.0150,-0.0000,0.0058,-1.1191,-20.00,72.46,52.46,-20.0150,-0.328610,-0.333584,0.004974,0.000000,1648,17.5284
0.3015,16,0.0150,-0.1800,0.0058,-1.1191,-20.00,72.46,52.46,-20.0150,-0.328610,-0.333584,0.004974,0.000000,1648,17.5284
0.3216,17,-0.0413,-0.1800,0.0052,-1.1191,-20.00,72.46,52.46,-19.9587,-0.327671,-0.332645,0.004974,0.000000,1647,17.5847
0.3416,18,-0.0413,-0.1800,0.0052,-1.5667,-20.00,72.46,52.46,-19.9587,-0.325682,-0.332645,0.006963,0.000000,1647,17.5847
0.3617,19,-0.0413,-0.3600,0.0052,-1.5667,-20.00,72.46,52.46,-19.9587,-0.325682,-0.332645,0.006963,0.000000,1647,17.5847
0.3818,20,-0.1939,-0.5400,0.0013,-6.4905,-20.00,72.46,52.46,-19.8061,-0.301256,-0.330102,0.028847,0.000000,1637,17.7373
0.4021,21,-0.1939,-0.5400,0.0013,-6.4905,-20.00,72.46,52.46,-19.8061,-0.301256,-0.330102,0.028847,0.000000,1637,17.7373
0.4222,22,-0.5937,-0.9000,0.0154,-6.4905,-20.00,72.46,52.46,-19.4063,-0.294591,-0.323438,0.028847,0.000000,1635,18.1371
0.4423,23,-0.5937,-1.2600,0.0154,-12.9811,-20.00,72.46,52.46,-19.4063,-0.265745,-0.323438,0.057694,0.000000,1624,18.1371
0.4624,24,-0.5937,-1.6200,0.0154,-12.9811,-20.00,72.46,52.46,-19.4063,-0.265745,-0.323438,0.057694,0.000000,1624,18.1371
0.4825,25,-1.3785,-2.1600,0.0359,-22.7169,-20.00,72.46,52.46,-18.6215,-0.209394,-0.310358,0.100964,0.000000,1603,18.922
0.5026,26,-1.3785,-2.5200,0.0359,-22.7169,-20.00,72.46,52.46,-18.6215,-0.209394,-0.310358,0.100964,0.000000,1603,18.922
0.5227,27,-2.6353,-3.2400,0.0591,-22.7169,-20.00,72.46,52.46,-17.3647,-0.188448,-0.289411,0.100964,0.000000,1595,20.1787
0.5428,28,-2.6353,-3.7800,0.0591,-30.7741,-20.00,72.46,52.46,-17.3647,-0.152638,-0.289411,0.136774,0.000000,1582,20.1787
0.5628,29,-2.6353,-4.5000,0.0591,-30.7741,-20.00,72.46,52.46,-17.3647,-0.152638,-0.289411,0.136774,0.000000,1582,20.1787
0.5829,30,-4.2473,-5.4000,0.0944,-35.3622,-20.00,72.46,52.46,-15.7527,-0.105380,-0.262546,0.157166,0.000000,1564,21.7907
0.6030,31,-4.2473,-5.9400,0.0944,-35.3622,-20.00,72.46,52.46,-15.7527,-0.105380,-0.262546,0.157166,0.000000,1564,21.7907
0.6231,32,-6.0804,-6.8400,0.1313,-35.3622,-20.00,72.46,52.46,-13.9196,-0.074828,-0.231993,0.157166,0.000000,1553,23.6238
0.6432,33,-6.0804,-7.5600,0.1313,-38.6075,-20.00,72.46,52.46,-13.9196,-0.060404,-0.231993,0.171589,0.000000,1547,23.6238
0.6633,34,-6.0804,-8.2800,0.1313,-38.6075,-20.00,72.46,52.46,-13.9196,-0.060404,-0.231993,0.171589,0.000000,1547,23.6238
0.6834,35,-8.0480,-9.1800,0.165,-40.1742,-20.00,72.46,52.46,-11.9520,-0.020648,-0.199200,0.178552,0.000000,1532,25.5914
0.7035,36,-8.0480,-9.9000,0.165,-40.1742,-20.00,72.46,52.46,-11.9520,-0.020648,-0.199200,0.178552,0.000000,1532,25.5914
0.7236,37,-10.0285,-10.6200,0.2132,-40.1742,-20.00,72.46,52.46,-9.9715,0.012361,-0.166191,0.178552,0.000000,1470,27.572
0.7437,38,-10.0285,-11.3400,0.2132,-38.3837,-20.00,72.46,52.46,-9.9715,0.004403,-0.166191,0.170594,0.000000,1473,27.572
0.7638,39,-10.0285,-12.0600,0.2132,-38.3837,-20.00,72.46,52.46,-9.9715,0.004403,-0.166191,0.170594,0.000000,1473,27.572
0.7839,40,-11.8567,-12.7800,0.2552,-34.1313,-20.00,72.46,52.46,-8.1433,0.015973,-0.135722,0.151695,0.000000,1469,29.4001
0.8039,41,-11.8567,-13.3200,0.2552,-34.1313,-20.00,72.46,52.46,-8.1433,0.015973,-0.135722,0.151695,0.000000,1469,29.4001
0.8240,42,-13.4766,-14.0400,0.2911,-34.1313,-20.00,72.46,52.46,-6.5234,0.042972,-0.108723,0.151695,0.000000,1458,31.02
0.8442,43,-13.4766,-14.4000,0.2911,-28.2003,-20.00,72.46,52.46,-6.5234,0.016612,-0.108723,0.125335,0.000000,1468,31.02
0.8643,44,-13.4766,-14.9400,0.2911,-28.2003,-20.00,72.46,52.46,-6.5234,0.016612,-0.108723,0.125335,0.000000,1468,31.02
0.8844,45,-14.7934,-15.4800,0.3294,-21.5978,-20.00,72.46,52.46,-5.2066,0.009213,-0.086777,0.095990,0.000000,1471,32.3368
0.9045,46,-14.7934,-15.6600,0.3294,-21.5978,-20.00,72.46,52.46,-5.2066,0.009213,-0.086777,0.095990,0.000000,1471,32.3368
0.9245,47,-15.7505,-16.0200,0.3482,-21.5978,-20.00,72.46,52.46,-4.2495,0.025166,-0.070824,0.095990,0.000000,1465,33.294
0.9446,48,-15.7505,-16.2000,0.3482,-14.6597,-20.00,72.46,52.46,-4.2495,-0.005670,-0.070824,0.065154,0.000000,1527,33.294
0.9647,49,-15.7505,-16.3800,0.3482,-14.6597,-20.00,72.46,52.46,-4.2495,-0.005670,-0.070824,0.065154,0.000000,1527,33.294
0.9848,50,-16.3667,-16.5600,0.3561,-6.8263,-20.00,72.46,52.46,-3.6333,-0.030215,-0.060554,0.030339,0.000000,1536,33.9102
1.0049,51,-16.3667,-16.5600,0.3561,-6.8263,-20.00,72.46,52.46,-3.6333,-0.030215,-0.060554,0.030339,0.000000,1536,33.9102
1.0250,52,-16.5970,-16.5600,0.3517,-6.8263,-20.00,72.46,52.46,-3.4030,-0.026378,-0.056717,0.030339,0.000000,1534,34.1404
1.0451,53,-16.5970,-16.5600,0.3517,0.7833,-20.00,72.46,52.46,-3.4030,-0.060198,-0.056717,-0.003482,0.000000,1547,34.1404
1.0652,54,-16.5970,-16.3800,0.3517,0.7833,-20.00,72.46,52.46,-3.4030,-0.060198,-0.056717,-0.003482,0.000000,1547,34.1404
1.0853,55,-16.4672,-16.2000,0.3447,6.9382,-20.00,72.46,52.46,-3.5328,-0.089717,-0.058880,-0.030836,0.000000,1558,34.0106
1.1055,56,-16.4672,-16.0200,0.3447,6.9382,-20.00,72.46,52.46,-3.5328,-0.089717,-0.058880,-0.030836,0.000000,1558,34.0106
1.1256,57,-16.0291,-15.8400,0.3331,6.9382,-20.00,72.46,52.46,-3.9709,-0.097017,-0.066181,-0.030836,0.000000,1561,33.5726
1.1457,58,-16.0291,-15.6600,0.3331,11.7501,-20.00,72.46,52.46,-3.9709,-0.118404,-0.066181,-0.052223,0.000000,1569,33.5726
1.1658,59,-16.0291,-15.3000,0.3331,11.7501,-20.00,72.46,52.46,-3.9709,-0.118404,-0.066181,-0.052223,0.000000,1569,33.5726
1.1859,60,-15.3854,-14.9400,0.3238,15.5549,-20.00,72.46,52.46,-4.6146,-0.146044,-0.076911,-0.069133,0.000000,1579,32.9288
1.2060,61,-15.3854,-14.5800,0.3238,15.5549,-20.00,72.46,52.46,-4.6146,-0.146044,-0.076911,-0.069133,0.000000,1579,32.9288
1.2264,62,-14.5741,-14.2200,0.3063,17.5692,-20.00,72.46,52.46,-5.4259,-0.168517,-0.090432,-0.078085,0.000000,1588,32.1175
1.2465,63,-14.5741,-13.8600,0.3063,17.5692,-20.00,72.46,52.46,-5.4259,-0.168517,-0.090432,-0.078085,0.000000,1588,32.1175
1.2669,64,-14.5741,-13.5000,0.3063,17.5692,-20.00,72.46,52.46,-5.4259,-0.168517,-0.090432,-0.078085,0.000000,1588,31.2151
1.2870,65,-13.6717,-13.1400,0.285,19.4716,-20.00,72.46,52.46,-6.3283,-0.192013,-0.105472,-0.086541,0.000000,1597,31.2151
1.3071,66,-13.6717,-12.7800,0.285,19.4716,-20.00,72.46,52.46,-6.3283,-0.192013,-0.105472,-0.086541,0.000000,1597,31.2151
1.3272,67,-12.7234,-12.4200,0.2583,18.4645,-20.00,72.46,52.46,-7.2766,-0.203342,-0.121277,-0.082064,0.000000,1601,30.2668
1.3472,68,-12.7234,-12.0600,0.2583,18.4645,-20.00,72.46,52.46,-7.2766,-0.203342,-0.121277,-0.082064,0.000000,1601,30.2668
1.3673,69,-12.7234,-11.7000,0.2583,18.4645,-20.00,72.46,52.46,-7.2766,-0.203342,-0.121277,-0.082064,0.000000,1601,29.3559
1.3874,70,-11.8125,-11.3400,0.2336,16.4502,-20.00,72.46,52.46,-8.1875,-0.209570,-0.136458,-0.073112,0.000000,1603,29.3559
1.4081,71,-11.8125,-11.1600,0.2336,16.4502,-20.00,72.46,52.46,-8.1875,-0.209570,-0.136458,-0.073112,0.000000,1603,29.3559
1.4282,72,-11.0349,-10.8000,0.2115,13.2049,-20.00,72.46,52.46,-8.9651,-0.208107,-0.149419,-0.058688,0.000000,1603,28.5783
1.4483,73,-11.0349,-10.6200,0.2115,13.2049,-20.00,72.46,52.46,-8.9651,-0.208107,-0.149419,-0.058688,0.000000,1603,28.5783
1.4684,74,-10.4480,-10.4400,0.2034,13.2049,-20.00,72.46,52.46,-9.5520,-0.217888,-0.159200,-0.058688,0.000000,1606,27.9914
1.4885,75,-10.4480,-10.2600,0.2034,7.9453,-20.00,72.46,52.46,-9.5520,-0.194512,-0.159200,-0.035313,0.000000,1597,27.9914
1.5086,76,-10.4480,-10.0800,0.2034,7.9453,-20.00,72.46,52.46,-9.5520,-0.194512,-0.159200,-0.035313,0.000000,1597,27.9914
1.5286,77,-10.0570,-10.0800,0.18,5.1477,-20.00,72.46,52.46,-9.9430,-0.188596,-0.165717,-0.022879,0.000000,1595,27.6004
1.5487,78,-10.0570,-10.0800,0.18,5.1477,-20.00,72.46,52.46,-9.9430,-0.188596,-0.165717,-0.022879,0.000000,1595,27.6004
1.5688,79,-9.8961,-10.0800,0.1276,5.1477,-20.00,72.46,52.46,-10.1039,-0.191277,-0.168399,-0.022879,0.000000,1596,27.4395
1.5889,80,-9.8961,-10.0800,0.1276,-1.4548,-20.00,72.46,52.46,-10.1039,-0.161933,-0.168399,0.006466,0.000000,1585,27.4395
1.6090,81,-9.8961,-10.0800,0.1276,-1.4548,-20.00,72.46,52.46,-10.1039,-0.161933,-0.168399,0.006466,0.000000,1585,27.4395
1.6290,82,-10.0700,-10.2600,0.1541,-4.7000,-20.00,72.46,52.46,-9.9300,-0.144610,-0.165500,0.020889,0.000000,1579,27.6134
1.6491,83,-10.0700,-10.4400,0.1541,-4.7000,-20.00,72.46,52.46,-9.9300,-0.144610,-0.165500,0.020889,0.000000,1579,27.6134
1.6692,84,-10.3580,-10.6200,0.1542,-4.7000,-20.00,72.46,52.46,-9.6420,-0.139811,-0.160700,0.020889,0.000000,1577,27.9014
1.6893,85,-10.3580,-10.6200,0.1542,-7.0501,-20.00,72.46,52.46,-9.6420,-0.129367,-0.160700,0.031334,0.000000,1573,27.9014
1.7094,86,-10.3580,-10.8000,0.1542,-7.0501,-20.00,72.46,52.46,-9.6420,-0.129367,-0.160700,0.031334,0.000000,1573,27.9014
1.7295,87,-10.7286,-10.9800,0.1593,-7.8334,-20.00,72.46,52.46,-9.2714,-0.119708,-0.154523,0.034815,0.000000,1569,28.272
1.7496,88,-10.7286,-11.1600,0.1593,-7.8334,-20.00,72.46,52.46,-9.2714,-0.119708,-0.154523,0.034815,0.000000,1569,28.272
1.7696,89,-11.1250,-11.3400,0.1634,-7.8334,-20.00,72.46,52.46,-8.8750,-0.113102,-0.147917,0.034815,0.000000,1567,28.6684
1.7897,90,-11.1250,-11.5200,0.1634,-7.1620,-20.00,72.46,52.46,-8.8750,-0.116086,-0.147917,0.031831,0.000000,1568,28.6684
1.8098,91,-11.1250,-11.5200,0.1634,-7.1620,-20.00,72.46,52.46,-8.8750,-0.116086,-0.147917,0.031831,0.000000,1568,28.6684
1.8299,92,-11.4970,-11.7000,0.1713,-6.6024,-20.00,72.46,52.46,-8.5030,-0.112373,-0.141717,0.029344,0.000000,1567,29.0404
1.8499,93,-11.4970,-11.8800,0.1713,-6.6024,-20.00,72.46,52.46,-8.5030,-0.112373,-0.141717,0.029344,0.000000,1567,29.0404
1.8700,94,-11.8105,-11.8800,0.1757,-6.6024,-20.00,72.46,52.46,-8.1895,-0.107147,-0.136491,0.029344,0.000000,1565,29.3539
1.8901,95,-11.8105,-12.0600,0.1757,-4.5881,-20.00,72.46,52.46,-8.1895,-0.116100,-0.136491,0.020392,0.000000,1568,29.3539
1.9102,96,-11.8105,-12.0600,0.1757,-4.5881,-20.00,72.46,52.46,-8.1895,-0.116100,-0.136491,0.020392,0.000000,1568,29.3539
1.9302,97,-12.0071,-12.0600,0.172,-2.5738,-20.00,72.46,52.46,-7.9929,-0.121776,-0.133215,0.011439,0.000000,1570,29.5505
1.9503,98,-12.0071,-12.2400,0.172,-2.5738,-20.00,72.46,52.46,-7.9929,-0.121776,-0.133215,0.011439,0.000000,1570,29.5505
1.9704,99,-12.0791,-12.2400,0.1742,-2.5738,-20.00,72.46,52.46,-7.9209,-0.120576,-0.132015,0.011439,0.000000,1570,29.6225
1.9905,100,-12.0791,-12.2400,0.1742,-0.2238,-20.00,72.46,52.46,-7.9209,-0.131020,-0.132015,0.000995,0.000000,1574,29.6225
2.0106,101,-12.0791,-12.0600,0.1742,-0.2238,-20.00,72.46,52.46,-7.9209,-0.131020,-0.132015,0.000995,0.000000,1574,29.6225
2.0306,102,-12.0323,-12.0600,0.1831,1.4548,-20.00,72.46,52.46,-7.9677,-0.139260,-0.132794,-0.006466,0.000000,1577,29.5757
2.0507,103,-12.0323,-12.0600,0.1831,1.4548,-20.00,72.46,52.46,-7.9677,-0.139260,-0.132794,-0.006466,0.000000,1577,29.5757
