t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,0.0637,-0.0000,0.0079,-0.0000,-20.00,74.73,54.73,-20.0637,-0.4013,-0.587809,-0.668789,-0.000669,0.000000,0.081649,1550,15.2017
0.0201,2,0.0637,-0.0000,0.0079,-0.0000,-20.00,74.73,54.73,-20.0637,-0.8025,-0.588478,-0.668789,-0.001338,0.000000,0.081649,1600,15.2017
0.0402,3,0.0677,-0.0000,0.0065,-0.0000,-20.00,74.73,54.73,-20.0677,-1.2039,-0.589281,-0.668923,-0.002007,0.000000,0.081649,1650,15.1977
0.0602,4,0.0677,-0.0000,0.0065,-0.0000,-20.00,74.73,54.73,-20.0677,-1.6053,-0.589950,-0.668923,-0.002675,0.000000,0.081649,1700,15.1977
0.0803,5,0.0677,-0.0000,0.0065,-0.0000,-20.00,74.73,54.73,-20.0677,-2.0066,-0.590619,-0.668923,-0.003344,0.000000,0.081649,1746,15.1977
0.1004,6,0.0677,-0.0000,0.0065,-0.0000,-20.00,74.73,54.73,-20.0677,-2.4080,-0.591288,-0.668923,-0.004013,0.000000,0.081649,1746,15.1977
0.1205,7,0.0677,-0.0000,0.0065,-0.0000,-20.00,74.73,54.73,-20.0677,-2.8093,-0.591957,-0.668923,-0.004682,0.000000,0.081649,1746,15.1977
0.1405,8,0.0677,-0.0000,0.0065,-0.1119,-20.00,74.73,54.73,-20.0677,-3.2107,-0.592253,-0.668923,-0.005351,0.000373,0.081649,1747,15.1977
0.1606,9,0.0677,-0.0000,0.0065,-0.1119,-20.00,74.73,54.73,-20.0677,-3.6120,-0.592922,-0.668923,-0.006020,0.000373,0.081649,1747,15.1977
0.1807,10,0.0617,-0.0000,0.0067,-0.1119,-20.00,74.73,54.73,-20.0617,-4.0133,-0.593392,-0.668725,-0.006689,0.000373,0.081649,1747,15.2037
