t_s,iteration,psi_imu_deg,psi_enc_deg,phi_yaw_deg,psi_dot_dps,setpoint_deg,error_deg,u_norm,u_p,u_d,u_g,pwm_us,pitch_raw_deg
0.0000,1,-0.0590,-0.0000,0.0036,-0.0000,20.00,20.0590,0.359686,0.222878,0.000000,0.136808,1340,12.4004
0.0201,2,-0.0590,-0.0000,0.0036,-0.0000,20.00,20.0590,0.359686,0.222878,0.000000,0.136808,1340,12.4004
0.0402,3,-0.0590,-0.0000,0.0036,-0.0000,20.00,20.0590,0.359686,0.222878,0.000000,0.136808,1340,12.4004
0.0604,4,-0.0590,-0.0000,0.0036,-0.0000,20.00,20.0590,0.359686,0.222878,0.000000,0.136808,1340,12.4004
0.0805,5,-0.0590,-0.0000,0.0036,-0.0000,20.00,20.0590,0.359686,0.222878,0.000000,0.136808,1340,12.4004
0.1006,6,-0.0590,-0.0000,0.0036,-0.0000,20.00,20.0590,0.359686,0.222878,0.000000,0.136808,1340,12.4004
0.1207,7,-0.0590,-0.0000,0.0036,-0.0000,20.00,20.0590,0.359686,0.222878,0.000000,0.136808,1340,12.4004
0.1408,8,-0.0590,-0.0000,0.0036,-0.0000,20.00,20.0590,0.359686,0.222878,0.000000,0.136808,1340,12.4004
0.1609,9,-0.0590,-0.0000,0.0036,-0.0000,20.00,20.0590,0.359686,0.222878,0.000000,0.136808,1340,12.4004
0.1809,10,-0.0590,-0.0000,0.0036,-0.0000,20.00,20.0590,0.359686,0.222878,0.000000,0.136808,1340,12.4004
0.2010,11,-0.0590,-0.0000,0.0036,-0.0000,20.00,20.0590,0.359686,0.222878,0.000000,0.136808,1340,12.4004
0.2211,12,-0.0590,-0.0000,0.0036,-0.0000,20.00,20.0590,0.359686,0.222878,0.000000,0.136808,1340,12.4004
0.2412,13,-0.0438,-0.0000,0.0115,-0.0000,20.00,20.0438,0.359517,0.222709,0.000000,0.136808,1340,12.3852
0.2613,14,-0.0438,-0.0000,0.0115,0.4476,20.00,20.0438,0.352057,0.222709,-0.007460,0.136808,1342,12.3852
0.2814,15,-0.0438,-0.0000,0.0115,0.4476,20.00,20.0438,0.352057,0.222709,-0.007460,0.136808,1342,12.3852
0.3017,16,0.0130,0.1800,0.0035,2.3500,20.00,19.9870,0.319719,0.222078,-0.039167,0.136808,1355,12.3284
0.3217,17,0.0130,0.1800,0.0035,2.3500,20.00,19.9870,0.319719,0.222078,-0.039167,0.136808,1355,12.3284
0.3418,18,0.1674,0.3600,-0.0071,2.3500,20.00,19.8326,0.318003,0.220362,-0.039167,0.136808,1355,12.1740
0.3619,19,0.1674,0.5400,-0.0071,6.1548,20.00,19.8326,0.254590,0.220362,-0.102580,0.136808,1379,12.1740
0.3821,20,0.1674,0.7200,-0.0071,6.1548,20.00,19.8326,0.254590,0.220362,-0.102580,0.136808,1379,12.1740
0.4022,21,0.6098,1.0800,-0.0170,13.0930,20.00,19.3902,0.134038,0.215447,-0.218216,0.136808,1424,11.7316
0.4223,22,0.6098,1.4400,-0.0170,13.0930,20.00,19.3902,0.134038,0.215447,-0.218216,0.136808,1424,11.7316
0.4424,23,1.4383,1.8000,-0.0207,13.0930,20.00,18.5617,0.124833,0.206241,-0.218216,0.136808,1428,10.9031
0.4625,24,1.4383,2.3400,-0.0207,21.4859,20.00,18.5617,-0.015049,0.206241,-0.358099,0.136808,1530,10.9031
0.4826,25,1.4383,2.8800,-0.0207,21.4859,20.00,18.5617,-0.015049,0.206241,-0.358099,0.136808,1530,10.9031
0.5027,26,2.6027,3.4200,-0.0487,24.7312,20.00,17.3973,-0.082075,0.193304,-0.412186,0.136808,1555,9.7387
