t,yaw,pitch,roll,ax,ay,az
0.004,-16.01,86.32,164.09,-0.1569,9.5125,-0.6178
0.014,-16.00,86.32,164.10,-0.1961,9.4340,-0.6178
0.024,-15.99,86.32,164.11,-0.1961,9.3556,-0.5786
0.034,-15.96,86.32,164.14,-0.1961,9.3066,-0.5786
0.044,-15.94,86.32,164.15,-0.1569,9.3164,-0.5786
0.054,-15.92,86.32,164.17,-0.1569,9.4635,-0.5786
0.064,-15.88,86.31,164.21,-0.1569,9.5125,-0.6178
0.074,-15.88,86.31,164.22,-0.1569,9.5125,-0.6178
0.084,-15.91,86.32,164.19,-0.1569,9.5125,-0.6178
0.094,-15.92,86.32,164.17,-0.1961,9.3948,-0.5786
0.104,-15.92,86.32,164.17,-0.1961,9.3066,-0.5786
0.114,-15.91,86.32,164.18,-0.1961,9.3066,-0.5786
0.124,-15.90,86.31,164.19,-0.1569,9.3458,-0.5786
0.134,-15.91,86.31,164.18,-0.1569,9.5027,-0.5786
0.144,-15.90,86.31,164.19,-0.1569,9.5125,-0.6178
0.154,-15.89,86.31,164.20,-0.1569,9.5125,-0.6178
0.164,-15.88,86.31,164.21,-0.1569,9.4340,-0.5786
0.174,-15.88,86.31,164.21,-0.1569,9.3164,-0.5786
0.184,-15.87,86.31,164.22,-0.1961,9.3066,-0.5786
0.194,-15.85,86.31,164.23,-0.1961,9.3556,-0.5786
0.204,-15.82,86.31,164.27,-0.1569,9.4242,-0.5394
0.214,-15.79,86.31,164.30,-0.1569,9.5027,-0.5786
0.224,-15.78,86.31,164.30,-0.1569,9.5125,-0.6178
0.234,-15.79,86.31,164.29,-0.1961,9.4635,-0.6178
0.244,-15.83,86.31,164.26,-0.1961,9.3948,-0.5786
0.254,-15.83,86.31,164.26,-0.1961,9.3066,-0.5786
0.265,-15.79,86.31,164.29,-0.1569,9.3458,-0.5786
0.274,-15.76,86.31,164.32,-0.1569,9.3948,-0.6178
0.284,-15.74,86.31,164.35,-0.1569,9.4733,-0.6178
0.294,-15.73,86.30,164.36,-0.1569,9.5125,-0.6178
0.304,-15.74,86.31,164.34,-0.1569,9.4340,-0.5786
0.314,-15.75,86.31,164.33,-0.1569,9.3948,-0.6178
0.324,-15.74,86.31,164.35,-0.1961,9.3556,-0.5786
0.334,-15.72,86.31,164.36,-0.1961,9.3164,-0.5394
0.344,-15.70,86.31,164.39,-0.1569,9.3948,-0.6178
0.354,-15.69,86.31,164.40,-0.1569,9.4733,-0.6178
0.367,-15.67,86.30,164.42,-0.1569,9.5125,-0.6178
0.374,-15.66,86.30,164.43,-0.1569,9.4635,-0.5786
0.384,-15.65,86.30,164.44,-0.1569,9.4340,-0.5786
0.394,-15.65,86.30,164.44,-0.1961,9.3556,-0.5786
0.404,-15.65,86.31,164.44,-0.1569,9.3458,-0.5786
0.414,-15.65,86.31,164.44,-0.1569,9.3458,-0.5786
0.424,-15.65,86.31,164.44,-0.1569,9.4242,-0.6178
0.434,-15.65,86.30,164.43,-0.1569,9.5027,-0.5786
0.444,-15.66,86.30,164.43,-0.1569,9.5125,-0.6178
0.454,-15.66,86.30,164.43,-0.1961,9.4340,-0.6178
0.464,-15.66,86.30,164.43,-0.1961,9.3458,-0.6178
0.474,-15.66,86.30,164.43,-0.1961,9.3556,-0.5786
0.487,-15.66,86.30,164.43,-0.1569,9.3458,-0.5786
0.494,-15.66,86.30,164.43,-0.1569,9.3850,-0.5786
0.504,-15.66,86.30,164.43,-0.1569,9.4733,-0.6178
0.514,-15.66,86.30,164.43,-0.1569,9.5027,-0.5786
0.524,-15.66,86.30,164.43,-0.1569,9.5125,-0.6178
0.534,-15.66,86.30,164.43,-0.1961,9.3948,-0.5786
0.544,-15.66,86.30,164.42,-0.1961,9.3066,-0.5786
0.554,-15.67,86.30,164.42,-0.1961,9.3458,-0.5394
0.564,-15.67,86.30,164.42,-0.1961,9.3556,-0.5786
0.574,-15.67,86.30,164.42,-0.1569,9.4635,-0.5786
0.584,-15.67,86.30,164.42,-0.1569,9.5125,-0.6570
0.594,-15.67,86.30,164.42,-0.1569,9.5125,-0.6178
0.604,-15.67,86.30,164.42,-0.1569,9.4340,-0.5786
0.614,-15.67,86.30,164.42,-0.1961,9.3556,-0.5786
0.624,-15.67,86.30,164.42,-0.1961,9.3066,-0.5786
0.634,-15.67,86.30,164.42,-0.1569,9.3458,-0.5786
0.644,-15.67,86.30,164.42,-0.1569,9.4242,-0.6178
0.654,-15.67,86.30,164.42,-0.1569,9.4733,-0.6178
0.664,-15.67,86.30,164.41,-0.1569,9.5517,-0.6178
0.674,-15.67,86.30,164.41,-0.1569,9.4733,-0.6178
0.684,-15.68,86.30,164.41,-0.1569,9.4242,-0.6178
0.694,-15.68,86.30,164.41,-0.1961,9.3556,-0.5786
0.704,-15.67,86.30,164.41,-0.1569,9.3458,-0.5786
0.714,-15.67,86.30,164.42,-0.1569,9.3948,-0.5394
0.724,-15.67,86.30,164.42,-0.1569,9.4635,-0.5786
0.734,-15.67,86.30,164.42,-0.1569,9.5125,-0.6178
0.744,-15.67,86.30,164.42,-0.1569,9.4733,-0.6178
0.754,-15.67,86.30,164.42,-0.1569,9.4242,-0.6178
0.764,-15.67,86.30,164.42,-0.1961,9.3948,-0.5786
0.774,-15.67,86.30,164.42,-0.1961,9.3164,-0.6178
0.784,-15.67,86.30,164.42,-0.1961,9.3850,-0.6178
0.794,-15.67,86.30,164.42,-0.1569,9.4242,-0.6178
0.804,-15.66,86.30,164.42,-0.1569,9.5125,-0.6178
0.814,-15.66,86.30,164.43,-0.1569,9.4733,-0.6178
0.824,-15.66,86.30,164.43,-0.1569,9.4242,-0.6178
0.834,-15.66,86.30,164.43,-0.1569,9.3850,-0.5786
0.847,-15.66,86.30,164.43,-0.1961,9.3556,-0.5786
0.854,-15.66,86.30,164.43,-0.1569,9.3458,-0.5786
0.864,-15.66,86.30,164.43,-0.1177,9.4242,-0.6178
0.874,-15.65,86.30,164.44,-0.1569,9.4733,-0.6178
0.889,-15.65,86.29,164.44,-0.1569,9.4733,-0.6570
0.894,-15.65,86.29,164.44,-0.1569,9.4635,-0.5786
0.904,-15.65,86.29,164.44,-0.1569,9.3948,-0.6178
0.916,-15.65,86.29,164.44,-0.1961,9.3556,-0.5786
0.924,-15.65,86.29,164.44,-0.1569,9.3458,-0.5786
0.937,-15.64,86.29,164.44,-0.1569,9.3850,-0.5786
0.946,-15.64,86.29,164.45,-0.1569,9.4733,-0.6178
0.954,-15.64,86.29,164.45,-0.1177,9.4733,-0.6178
0.966,-15.64,86.29,164.45,-0.1569,9.5125,-0.6178
0.976,-15.64,86.29,164.45,-0.1569,9.3850,-0.5786
0.985,-15.64,86.29,164.45,-0.1961,9.3948,-0.5786
0.994,-15.64,86.29,164.45,-0.1569,9.3458,-0.5786
1.004,-15.64,86.29,164.45,-0.1569,9.3556,-0.6178
1.014,-15.63,86.29,164.45,-0.1569,9.4733,-0.6178
1.024,-15.62,86.29,164.46,-0.1569,9.5125,-0.6178
1.034,-15.61,86.29,164.47,-0.1569,9.5125,-0.6178
1.044,-15.60,86.29,164.48,-0.1569,9.4733,-0.6178
1.054,-15.59,86.29,164.49,-0.1569,9.3458,-0.5786
1.064,-15.59,86.29,164.50,-0.1961,9.3556,-0.5786
1.074,-15.58,86.29,164.51,-0.1569,9.3458,-0.5786
1.084,-15.57,86.29,164.52,-0.1569,9.4242,-0.6178
1.094,-15.56,86.29,164.53,-0.1569,9.5125,-0.6178
1.104,-15.55,86.29,164.54,-0.1177,9.5125,-0.6178
1.114,-15.54,86.29,164.55,-0.1569,9.4635,-0.5786
1.124,-15.53,86.29,164.56,-0.1569,9.4340,-0.5786
1.134,-15.52,86.29,164.57,-0.1569,9.3556,-0.6178
1.144,-15.51,86.29,164.58,-0.1569,9.3556,-0.6178
1.154,-15.50,86.29,164.58,-0.1569,9.3948,-0.6178
1.164,-15.50,86.29,164.59,-0.1569,9.4242,-0.6178
1.174,-15.49,86.29,164.60,-0.1569,9.5027,-0.5786
1.184,-15.48,86.28,164.61,-0.1569,9.5027,-0.5786
1.194,-15.47,86.28,164.62,-0.1569,9.4733,-0.6178
1.204,-15.46,86.28,164.63,-0.1961,9.3850,-0.6178
1.214,-15.46,86.28,164.63,-0.1569,9.3850,-0.5786
1.224,-15.45,86.28,164.64,-0.1961,9.3948,-0.5786
1.234,-15.44,86.28,164.65,-0.1569,9.3948,-0.6178
1.244,-15.43,86.28,164.66,-0.1569,9.4733,-0.6178
1.254,-15.42,86.28,164.66,-0.1569,9.5125,-0.6178
1.264,-15.42,86.28,164.67,-0.1569,9.4733,-0.6178
1.274,-15.41,86.28,164.68,-0.1961,9.4242,-0.5786
1.284,-15.40,86.28,164.69,-0.1961,9.3850,-0.6178
1.294,-15.40,86.28,164.69,-0.1569,9.3850,-0.5786
1.304,-15.39,86.28,164.70,-0.1569,9.3948,-0.6178
1.314,-15.38,86.28,164.71,-0.1569,9.4340,-0.5786
1.324,-15.38,86.28,164.71,-0.1569,9.5125,-0.6178
1.334,-15.37,86.28,164.72,-0.1569,9.5125,-0.6178
1.344,-15.36,86.28,164.73,-0.1569,9.4242,-0.6178
1.354,-15.35,86.28,164.73,-0.1569,9.3458,-0.5786
1.364,-15.35,86.28,164.74,-0.1961,9.3948,-0.5786
1.374,-15.34,86.28,164.75,-0.1569,9.3948,-0.6178
1.384,-15.34,86.28,164.75,-0.1569,9.4340,-0.5786
1.394,-15.33,86.28,164.76,-0.1569,9.4733,-0.6570
1.404,-15.32,86.28,164.77,-0.1569,9.5125,-0.6178
1.414,-15.32,86.28,164.77,-0.1569,9.4242,-0.6178
1.424,-15.31,86.28,164.78,-0.1961,9.3850,-0.6570
1.434,-15.30,86.28,164.79,-0.1569,9.3948,-0.6178
1.444,-15.29,86.28,164.80,-0.1569,9.3556,-0.6178
1.454,-15.29,86.28,164.80,-0.1569,9.4733,-0.6178
1.464,-15.28,86.28,164.81,-0.1569,9.4733,-0.6178
1.474,-15.27,86.28,164.82,-0.1177,9.4733,-0.6178
1.484,-15.26,86.28,164.83,-0.1569,9.5125,-0.6178
1.493,-15.25,86.28,164.84,-0.1569,9.3948,-0.6178
1.503,-15.25,86.28,164.84,-0.1961,9.3850,-0.6178
1.513,-15.24,86.28,164.85,-0.1961,9.3458,-0.6178
1.523,-15.23,86.27,164.86,-0.1569,9.3850,-0.5786
1.533,-15.22,86.27,164.87,-0.1177,9.4733,-0.6570
1.543,-15.22,86.27,164.87,-0.1177,9.4733,-0.6178
1.553,-15.21,86.27,164.88,-0.1177,9.4733,-0.6570
1.563,-15.20,86.27,164.89,-0.1569,9.4242,-0.6178
1.573,-15.20,86.27,164.89,-0.1569,9.3948,-0.6570
1.583,-15.19,86.27,164.90,-0.1177,9.3458,-0.5786
1.593,-15.18,86.27,164.91,-0.1569,9.3948,-0.6178
1.603,-15.17,86.27,164.92,-0.1569,9.4242,-0.6178
1.613,-15.16,86.27,164.93,-0.1569,9.5125,-0.6570
1.623,-15.16,86.27,164.93,-0.1569,9.4733,-0.6178
1.633,-15.15,86.27,164.94,-0.1569,9.4733,-0.6178
1.643,-15.14,86.27,164.95,-0.1569,9.4340,-0.5786
1.653,-15.13,86.26,164.96,-0.1569,9.3948,-0.6178
1.663,-15.12,86.26,164.97,-0.1569,9.3948,-0.6178
1.673,-15.11,86.26,164.98,-0.1569,9.3948,-0.6178
1.683,-15.10,86.26,164.99,-0.1569,9.4242,-0.6178
1.693,-15.10,86.26,164.99,-0.1569,9.5125,-0.6178
1.703,-15.09,86.26,165.00,-0.1177,9.4733,-0.6570
1.713,-15.08,86.26,165.01,-0.1569,9.4733,-0.6178
1.723,-15.06,86.26,165.03,-0.1961,9.3850,-0.6178
1.733,-15.05,86.26,165.04,-0.1569,9.3948,-0.6178
1.743,-15.03,86.26,165.06,-0.1569,9.3948,-0.6178
1.753,-15.02,86.25,165.07,-0.1569,9.4733,-0.6178
1.763,-15.00,86.25,165.09,-0.1177,9.4733,-0.6178
1.773,-14.99,86.25,165.11,-0.1569,9.4733,-0.6178
1.783,-14.97,86.25,165.12,-0.1569,9.4733,-0.6178
1.793,-14.95,86.25,165.14,-0.1569,9.4242,-0.6178
1.803,-14.94,86.25,165.15,-0.1569,9.3948,-0.6178
1.813,-14.93,86.25,165.17,-0.1569,9.3948,-0.6178
1.823,-14.91,86.25,165.18,-0.1569,9.4242,-0.6178
1.833,-14.90,86.25,165.19,-0.1177,9.4242,-0.6178
1.843,-14.88,86.25,165.21,-0.1177,9.4733,-0.6178
1.853,-14.87,86.25,165.22,-0.1569,9.4635,-0.5786
1.863,-14.85,86.25,165.24,-0.1569,9.4242,-0.6178
1.873,-14.84,86.25,165.25,-0.1569,9.3948,-0.6178
1.883,-14.83,86.25,165.26,-0.1569,9.3948,-0.6178
1.893,-14.81,86.24,165.28,-0.1569,9.4242,-0.6570
1.903,-14.80,86.24,165.29,-0.1177,9.4733,-0.6178
1.913,-14.79,86.24,165.30,-0.1177,9.4733,-0.6178
1.923,-14.78,86.24,165.32,-0.1569,9.4733,-0.6178
1.933,-14.76,86.24,165.33,-0.1569,9.4340,-0.5786
1.943,-14.75,86.24,165.34,-0.1569,9.3948,-0.6178
1.953,-14.74,86.24,165.35,-0.1569,9.3948,-0.6178
1.963,-14.73,86.24,165.36,-0.1569,9.3948,-0.6178
1.973,-14.71,86.24,165.38,-0.1177,9.4733,-0.6178
1.983,-14.70,86.24,165.39,-0.1177,9.5125,-0.6570
1.993,-14.69,86.24,165.40,-0.1177,9.5125,-0.6178
2.003,-14.68,86.24,165.41,-0.1177,9.4733,-0.6178
2.013,-14.67,86.24,165.42,-0.1569,9.4242,-0.6570
2.023,-14.66,86.24,165.43,-0.1569,9.3948,-0.6178
2.033,-14.65,86.24,165.45,-0.1569,9.4340,-0.5786
2.043,-14.63,86.24,165.46,-0.1569,9.4242,-0.6178
2.053,-14.61,86.24,165.48,-0.1177,9.4733,-0.6178
2.063,-14.59,86.24,165.50,-0.1177,9.4733,-0.6570
2.073,-14.57,86.23,165.52,-0.1569,9.5125,-0.6178
2.083,-14.55,86.23,165.54,-0.1569,9.4733,-0.6570
2.093,-14.53,86.23,165.56,-0.1569,9.3948,-0.6178
2.103,-14.51,86.23,165.58,-0.1569,9.3948,-0.6178
2.113,-14.50,86.23,165.60,-0.1177,9.3948,-0.6178
2.123,-14.48,86.23,165.61,-0.1177,9.4242,-0.6178
2.133,-14.46,86.23,165.63,-0.1569,9.4733,-0.6570
2.143,-14.44,86.23,165.65,-0.1177,9.4733,-0.6570
2.153,-14.43,86.23,165.67,-0.1569,9.4242,-0.6570
2.163,-14.41,86.23,165.68,-0.1569,9.4242,-0.6570
2.173,-14.39,86.23,165.70,-0.1569,9.3948,-0.6178
2.183,-14.37,86.23,165.72,-0.1569,9.3948,-0.6570
2.193,-14.35,86.23,165.74,-0.1569,9.4242,-0.6178
2.203,-14.33,86.23,165.76,-0.1569,9.4733,-0.6178
2.213,-14.32,86.23,165.78,-0.1177,9.4733,-0.6178
2.223,-14.30,86.23,165.79,-0.1177,9.5125,-0.6178
2.233,-14.28,86.23,165.81,-0.1569,9.4242,-0.6178
2.243,-14.26,86.22,165.83,-0.1569,9.4242,-0.6178
2.253,-14.25,86.22,165.85,-0.1569,9.3948,-0.6178
2.263,-14.23,86.22,165.86,-0.1569,9.4242,-0.6178
2.273,-14.21,86.22,165.88,-0.1569,9.4733,-0.6570
2.283,-14.20,86.22,165.90,-0.1569,9.5125,-0.6570
2.293,-14.18,86.22,165.91,-0.1569,9.4733,-0.6570
2.303,-14.16,86.22,165.93,-0.1569,9.4242,-0.6178
2.313,-14.15,86.22,165.94,-0.1569,9.4242,-0.6178
2.323,-14.13,86.22,165.96,-0.1569,9.3948,-0.6570
2.333,-14.12,86.22,165.97,-0.1569,9.4242,-0.6178
2.343,-14.10,86.22,165.99,-0.1177,9.4733,-0.6570
2.353,-14.09,86.22,166.00,-0.1569,9.4733,-0.6570
2.363,-14.07,86.22,166.02,-0.1177,9.4733,-0.6570
2.373,-14.06,86.21,166.03,-0.1569,9.4242,-0.6178
2.383,-14.04,86.21,166.05,-0.1569,9.4242,-0.6178
2.393,-14.03,86.21,166.07,-0.1569,9.3948,-0.6178
2.403,-14.01,86.21,166.08,-0.1569,9.3948,-0.6178
2.413,-13.99,86.21,166.10,-0.1569,9.4733,-0.6178
2.423,-13.98,86.21,166.11,-0.1569,9.4733,-0.6570
2.433,-13.96,86.21,166.13,-0.1177,9.4733,-0.6178
2.443,-13.95,86.21,166.14,-0.1569,9.4733,-0.6178
2.453,-13.93,86.21,166.16,-0.1569,9.4242,-0.6178
2.463,-13.92,86.20,166.17,-0.1569,9.4242,-0.6178
2.473,-13.90,86.20,166.19,-0.1569,9.3948,-0.6178
2.483,-13.89,86.20,166.20,-0.1569,9.4242,-0.6178
2.493,-13.88,86.20,166.22,-0.1177,9.4733,-0.6178
2.503,-13.86,86.20,166.23,-0.1177,9.4733,-0.6570
2.513,-13.85,86.20,166.25,-0.1177,9.5125,-0.6570
2.523,-13.83,86.20,166.26,-0.1569,9.4733,-0.6570
2.533,-13.82,86.20,166.27,-0.1569,9.4242,-0.6178
2.543,-13.81,86.20,166.29,-0.1569,9.3948,-0.6570
2.553,-13.79,86.19,166.30,-0.1569,9.3948,-0.6178
2.563,-13.78,86.19,166.31,-0.1569,9.4733,-0.6178
2.573,-13.77,86.19,166.33,-0.1177,9.4733,-0.6570
2.583,-13.76,86.19,166.34,-0.1177,9.4733,-0.6570
2.593,-13.74,86.19,166.35,-0.1177,9.4733,-0.6178
2.603,-13.73,86.19,166.36,-0.1569,9.4242,-0.6178
2.613,-13.72,86.19,166.37,-0.1569,9.3948,-0.6178
2.623,-13.71,86.19,166.39,-0.1569,9.4242,-0.6178
2.633,-13.69,86.19,166.40,-0.1569,9.4242,-0.6178
2.643,-13.68,86.19,166.41,-0.1177,9.4733,-0.6178
2.653,-13.67,86.19,166.42,-0.1177,9.4733,-0.6570
2.663,-13.66,86.18,166.43,-0.1569,9.4733,-0.6178
2.673,-13.65,86.18,166.44,-0.1569,9.4733,-0.6178
2.683,-13.64,86.18,166.46,-0.1177,9.4242,-0.6178
2.693,-13.63,86.18,166.46,-0.1569,9.4242,-0.6178
2.703,-13.62,86.18,166.47,-0.1569,9.4242,-0.6570
2.713,-13.61,86.18,166.48,-0.1177,9.4242,-0.6178
2.723,-13.60,86.18,166.49,-0.1177,9.4733,-0.6178
2.733,-13.59,86.18,166.50,-0.1177,9.5125,-0.6178
2.743,-13.59,86.18,166.51,-0.1569,9.4242,-0.6570
2.753,-13.58,86.18,166.52,-0.1569,9.4242,-0.6178
2.763,-13.57,86.18,166.52,-0.1177,9.4242,-0.6178
2.773,-13.56,86.18,166.53,-0.1569,9.3948,-0.6178
2.783,-13.55,86.18,166.54,-0.1177,9.4733,-0.6178
2.793,-13.55,86.18,166.55,-0.1177,9.4733,-0.6178
2.803,-13.54,86.18,166.56,-0.1569,9.4733,-0.6570
2.813,-13.53,86.18,166.56,-0.1177,9.4733,-0.6570
2.823,-13.52,86.18,166.57,-0.1569,9.4242,-0.6178
2.833,-13.52,86.18,166.58,-0.1569,9.3948,-0.6178
2.843,-13.51,86.18,166.59,-0.1569,9.3948,-0.6570
2.853,-13.50,86.18,166.59,-0.1569,9.4242,-0.6570
2.863,-13.49,86.18,166.60,-0.1569,9.4733,-0.6570
2.873,-13.49,86.18,166.61,-0.1177,9.4733,-0.6178
2.883,-13.48,86.18,166.61,-0.1569,9.4733,-0.6178
2.893,-13.47,86.18,166.62,-0.1177,9.4733,-0.6570
2.903,-13.46,86.18,166.63,-0.1569,9.4242,-0.6178
2.913,-13.46,86.18,166.64,-0.1569,9.3948,-0.6178
2.923,-13.45,86.18,166.65,-0.1569,9.4242,-0.6178
2.933,-13.44,86.18,166.66,-0.1569,9.4733,-0.6178
2.943,-13.43,86.17,166.66,-0.1569,9.4733,-0.6178
2.953,-13.42,86.17,166.67,-0.1177,9.4733,-0.6178
2.963,-13.41,86.17,166.68,-0.1569,9.4733,-0.6570
2.973,-13.40,86.17,166.69,-0.1569,9.4242,-0.6570
2.983,-13.40,86.17,166.70,-0.1569,9.4242,-0.6570
2.993,-13.39,86.17,166.70,-0.1177,9.4242,-0.6178
3.003,-13.38,86.17,166.71,-0.1569,9.4242,-0.6570
3.013,-13.37,86.17,166.72,-0.1569,9.4733,-0.6178
3.023,-13.37,86.17,166.73,-0.1177,9.4733,-0.6178
3.033,-13.36,86.17,166.74,-0.1569,9.5125,-0.6178
3.043,-13.35,86.17,166.74,-0.1177,9.4733,-0.6178
3.053,-13.34,86.17,166.75,-0.1569,9.3948,-0.6178
3.063,-13.34,86.17,166.76,-0.1569,9.4242,-0.6178
3.073,-13.33,86.17,166.76,-0.1177,9.4242,-0.6178
3.083,-13.32,86.17,166.77,-0.1177,9.4733,-0.6178
3.093,-13.32,86.16,166.78,-0.1177,9.4733,-0.6570
3.103,-13.31,86.16,166.79,-0.1177,9.4733,-0.6570
3.113,-13.30,86.16,166.79,-0.1177,9.4733,-0.6570
3.123,-13.30,86.16,166.80,-0.1569,9.4242,-0.6570
3.133,-13.29,86.16,166.81,-0.1569,9.3948,-0.6178
3.143,-13.28,86.16,166.81,-0.1569,9.4242,-0.6570
3.153,-13.28,86.16,166.82,-0.1177,9.4733,-0.6178
3.163,-13.27,86.16,166.82,-0.1177,9.4733,-0.6570
3.173,-13.26,86.16,166.83,-0.1177,9.4733,-0.6570
3.183,-13.25,86.16,166.85,-0.1569,9.4733,-0.6570
3.193,-13.23,86.16,166.86,-0.1569,9.4242,-0.6178
3.203,-13.22,86.16,166.87,-0.1569,9.4242,-0.6178
3.213,-13.21,86.16,166.89,-0.1569,9.3948,-0.6178
3.223,-13.18,86.16,166.91,-0.1569,9.4635,-0.6963
3.233,-13.16,86.16,166.94,-0.1569,9.4242,-0.6570
3.243,-13.15,86.16,166.95,-0.1177,9.4733,-0.6570
3.253,-13.15,86.16,166.95,-0.1177,9.4733,-0.6178
3.263,-13.14,86.16,166.96,-0.1569,9.4242,-0.6570
3.273,-13.11,86.16,166.98,-0.1569,9.4242,-0.6178
3.283,-13.10,86.16,167.00,-0.1569,9.4242,-0.6570
3.293,-13.08,86.16,167.01,-0.1961,9.4340,-0.6570
3.303,-13.06,86.16,167.04,-0.1177,9.4733,-0.6570
3.313,-13.04,86.16,167.06,-0.1177,9.4733,-0.6178
3.323,-13.03,86.16,167.06,-0.1177,9.4733,-0.6570
3.333,-13.03,86.16,167.06,-0.1177,9.4733,-0.6178
3.343,-13.01,86.16,167.09,-0.1569,9.4242,-0.6570
3.353,-12.99,86.15,167.11,-0.1569,9.4242,-0.6178
3.363,-12.98,86.15,167.11,-0.1177,9.4242,-0.6570
3.373,-12.98,86.15,167.11,-0.1177,9.4242,-0.6178
3.383,-12.99,86.15,167.11,-0.1569,9.4242,-0.6570
3.393,-12.97,86.15,167.12,-0.1177,9.4733,-0.6178
3.403,-12.94,86.14,167.15,-0.1177,9.4733,-0.6178
3.413,-12.93,86.14,167.16,-0.1569,9.4242,-0.6178
3.423,-12.94,86.14,167.15,-0.1569,9.4242,-0.6570
3.433,-12.94,86.14,167.15,-0.1569,9.4242,-0.6178
3.443,-12.92,86.14,167.18,-0.1569,9.4733,-0.6570
3.453,-12.91,86.14,167.19,-0.1569,9.4340,-0.6963
3.463,-12.90,86.14,167.19,-0.1177,9.4733,-0.6178
3.473,-12.89,86.14,167.20,-0.1177,9.4733,-0.6178
3.483,-12.87,86.14,167.22,-0.1177,9.4635,-0.6963
3.493,-12.85,86.13,167.24,-0.1569,9.4242,-0.6178
3.503,-12.82,86.13,167.28,-0.1569,9.3948,-0.6178
3.513,-12.81,86.13,167.28,-0.1569,9.4242,-0.6178
3.523,-12.81,86.13,167.28,-0.1569,9.4733,-0.6178
3.533,-12.80,86.13,167.29,-0.1569,9.5125,-0.6178
3.543,-12.81,86.13,167.28,-0.1177,9.4733,-0.6570
3.553,-12.83,86.13,167.26,-0.1569,9.4733,-0.6178
3.563,-12.84,86.13,167.25,-0.1177,9.4733,-0.6570
3.573,-12.85,86.13,167.24,-0.1569,9.4242,-0.6178
3.583,-12.86,86.13,167.23,-0.1177,9.4242,-0.6178
3.593,-12.86,86.12,167.23,-0.1569,9.4733,-0.6178
3.603,-12.88,86.12,167.21,-0.1177,9.4733,-0.6570
3.613,-12.89,86.12,167.20,-0.1177,9.4733,-0.6570
3.623,-12.90,86.12,167.19,-0.1569,9.4733,-0.6570
3.633,-12.90,86.12,167.20,-0.1569,9.4242,-0.6178
3.643,-12.88,86.12,167.21,-0.1177,9.4242,-0.6570
3.653,-12.87,86.13,167.22,-0.1569,9.4242,-0.6178
3.663,-12.86,86.12,167.23,-0.1177,9.4242,-0.6570
3.673,-12.85,86.12,167.24,-0.1569,9.4733,-0.6570
3.683,-12.85,86.12,167.24,-0.1177,9.4733,-0.6570
3.693,-12.86,86.12,167.23,-0.1177,9.4733,-0.6570
3.703,-12.87,86.12,167.22,-0.1569,9.4733,-0.6178
3.713,-12.85,86.12,167.24,-0.1569,9.4242,-0.6178
3.723,-12.85,86.12,167.24,-0.1569,9.4242,-0.6178
3.733,-12.85,86.12,167.24,-0.1177,9.4242,-0.6178
3.743,-12.85,86.12,167.24,-0.1569,9.4733,-0.6570
3.753,-12.85,86.12,167.24,-0.1569,9.4733,-0.6178
3.763,-12.85,86.12,167.25,-0.1177,9.4733,-0.6178
3.773,-12.85,86.12,167.24,-0.1177,9.4733,-0.6570
3.783,-12.85,86.12,167.24,-0.1569,9.4242,-0.6570
3.793,-12.84,86.12,167.25,-0.1569,9.4242,-0.6178
3.803,-12.84,86.12,167.24,-0.1569,9.4242,-0.6570
3.813,-12.83,86.12,167.25,-0.1569,9.4242,-0.6178
3.823,-12.83,86.12,167.25,-0.1177,9.4733,-0.6178
3.833,-12.84,86.12,167.24,-0.1177,9.5125,-0.6570
3.843,-12.85,86.12,167.23,-0.1177,9.4733,-0.6570
3.853,-12.84,86.12,167.24,-0.1177,9.4733,-0.6570
3.863,-12.82,86.12,167.26,-0.1177,9.4242,-0.6570
3.873,-12.81,86.12,167.27,-0.1569,9.4242,-0.6178
3.883,-12.81,86.12,167.27,-0.1569,9.4733,-0.6570
3.893,-12.80,86.12,167.28,-0.1177,9.4733,-0.6570
3.903,-12.79,86.12,167.29,-0.1177,9.4733,-0.6178
3.913,-12.79,86.12,167.29,-0.1177,9.4733,-0.6570
3.923,-12.80,86.12,167.28,-0.1569,9.4242,-0.6570
3.933,-12.82,86.12,167.26,-0.1177,9.4242,-0.6570
3.943,-12.84,86.12,167.24,-0.1569,9.4242,-0.6570
